review,rate
Biasanya aplikasi ini bagus. Tetapi saya tidak tahu mengapa sekarang saya tidak dapat menemukan makanan. Saya mencari tetapi tidak berhasil. Hanya kosong. Aplikasi lain berfungsi hanya temukan. Data dan wifi saya berfungsi hanya temukan,negative
"Ini memiliki layanan yang baik, tetapi setiap kali aplikasi ini diperbarui, akun saya yang ditingkatkan sedang diturunkan peringkatnya, ini kali ketiga saya mengunggah KTP dan wajah saya, apa yang salah dari aplikasi ini, saya khawatir jika Anda melakukan ini untuk dijual data saya ke yang lain",negative
"Silakan Periksa Kesalahan Terkadang pada Xiaomi Redmi Note 5 - Pemuatan aplikasi tampaknya turun selama jam sibuk - Setelah dibatalkan oleh pengemudi, tidak dapat memasukkan ulang pesanan pesanan sepanjang waktu - Gopay hilang pada bagian hari tertentu sehingga, uang tunai hanya",positive
"Aplikasi bagus, tetapi saldo saya tidak menunjukkan saldo yang benar. Itu terjadi setelah saya menambah gopay saya, itu masih 0. Lalu saya mencoba membayar makanan saya, dan itu berhasil. Saya melakukannya karena saya cukup yakin saldo telah masuk ke akun saya.",positive
"mengapa pin saya berubah tanpa alasan? kemudian setelah saya mengubah pin saya, saya ingin membeli sesuatu yang mendesak dan dikatakan ""Anda telah melampaui upaya pin maksimum. Silakan coba lagi nanti"" itu mendesak. MENGAPA SAYA HARUS MENUNGGU? !!",negative
"Aplikasi hebat. Begitu banyak pemberitahuan dan tidak ada cara untuk mematikannya. Ada lima setiap kali Anda memesan makanan, dan kemudian dua hari itu hanya iklan. Sangat menyebalkan.",negative
Obrolan saat ini tidak tersedia. Aplikasi tidak aman saat masuk menggunakan verifikasi nomor Anda.,negative
"Tidak dapat menambahkan kartu, dapatkan kode kesalahan saat OTC dimasukkan",negative
"Maaf untuk memberi go-jek 3 bintang dan untuk mengatakan tetapi, saya mencoba untuk meningkatkan aplikasi ini ke pemutaran perdana tetapi yang saya dapatkan adalah ""dokumen Anda sedang diunggah"" selama dua tahun terakhir. Seperti apakah butuh waktu selama itu untuk mengunggah ??? Saya sudah meminta layanan pelanggan tetapi tidak membantu.",positive
Masuk HARUS dilakukan menggunakan nomor telepon. Meskipun sudah tidak digunakan lagi. Mengubah nomor telepon mengharuskan Anda memberikan transaksi terakhir Anda (yang ingat transaksi terakhir yang Anda miliki bertahun-tahun yang lalu dengan nomor tidak aktif). TIDAK MEMBANTU.,negative
"Menyebalkan menggunakan aplikasi ini di musim hujan. Saya sudah memesan dan berdiri di tempat yang sama selama satu jam dan saya masih belum menemukan sopir. Jika saya menemukan satu, mereka terlalu jauh dari lokasi saya. Masalah ini telah terjadi selama bertahun-tahun, mohon perbaiki !!",negative
"Saya tidak tahu apakah orang lain memiliki pengalaman yang sama seperti saya, tetapi saya benci kenyataan bahwa perlu waktu lama untuk menginstal aplikasi ini sepenuhnya ketika Anda mengunduhnya. Android atau iOS, semua sama ughh",negative
"Lelucon berdarah suatu aplikasi. Menunjukkan pengemudi dalam perjalanan, kemudian mencapai dalam 1 menit, momen berikutnya menunjukkan pengemudi berjarak 10 menit di lokasi yang sama sekali berbeda. Sopir yang buruk tidak mau dan tidak bisa membatalkan. Setelah saya batalkan, harga melonjak dua kali lipat jumlahnya. Terjadi pada 3 kesempatan berbeda.",negative
Saya kesal dengan aplikasi ini. Menjijikkan!! Saya punya 5 voucher festival makanan. Dan ini muncul hampir setiap minggu tetapi saya tidak bisa menggunakan semuanya. Saya sudah mengikuti aturan namun tidak berhasil. Tlg beri tahu saya apa yang harus saya lakukan untuk memperbaiki masalah ini? Saya membencinya.,negative
"Banyak hadiah voucher yang telah dihapus dari program Anda, membuat aplikasi Anda kurang menarik daripada aplikasi lain seperti GRAB! Layanan Pelanggan Anda juga menyebalkan!",negative
"Ini bagus ketika ada diskon yang sedang berlangsung. Tetapi di luar periode diskon, sering kali ada kenaikan harga yang tidak masuk akal dan tidak masuk akal. Ketika Anda terus-menerus 50% lebih mahal daripada aplikasi naik lainnya, itu tidak keren.",negative
"Saya memiliki waktu yang menyenangkan menggunakan aplikasi ini, mudah digunakan, mudah dinavigasi, kita bisa mengawasi peta oleh pengemudi, sehingga pengemudi tidak bisa menipu. Begitu banyak promo, lagipula, pilihan pertama saya ketika saya terlalu malas untuk membeli makanan",positive
"Tidak dapat memutakhirkan akun gopay saya. Selalu macet ketika saya mencoba mengambil gambar KTP saya. Juga ketika saya mencoba membayar pedagang dengan gopay, setelah memindai QR, aplikasi selalu macet. Tolong perbaiki ini. Digunakan pada Android 6.0 Asus Zenfone2 ZE551ML.",negative
"Pelacak gps sangat lamban. Ini sering menunjukkan bahwa seorang pengemudi masih jauh dari titik penjemputan saya ketika dia benar-benar berada di sana untuk sementara waktu. Juga, saya tidak suka mereka menagih kartu kredit begitu Anda memesan.",negative
Semua voucher saya hilang meskipun masih bisa digunakan sebelum kedaluwarsa. Saya tidak tahu apa yang salah dengan aplikasi ini. Membuang-buang uang saya membeli voucher namun tidak dapat ditemukan di tempat lain,negative
"Aplikasi di ponsel saya tidak memungkinkan saya untuk masuk selama beberapa hari sekarang. Pada awalnya halaman pemesanan tidak mau dimuat, lalu saya uninstall aplikasi dan menginstalnya kembali. Sekarang tidak akan masuk. Bantuan!",positive
"Tiba-tiba tidak bisa membuka aplikasi saya, saya sudah membatalkan aplikasi ini kemudian saya instal lagi, saya melakukan hal yang sama untuk beberapa waktu tetapi aplikasi ini tidak dapat dibuka. Sangat berbeda dengan pesaing mereka",negative
"Benci itu. Saya mencoba mendaftar dan secara tidak sengaja menekan keluar. Mencoba mendaftar lagi, tetapi gagal. Katanya sudah ada email saya. TERUS? Aplikasi ini tidak dapat memiliki DUA ATAU LEBIH BANYAK akun di EMAIL SAMA ?! Saya harus naik bus karena ini. Mengerikan, dan mengecewakan. Tidak terinstal.",negative
"Saya terjebak di halaman ""Tunggu ah, bersiap-siap"". Mengambil jumlah waktu untuk mengambil buku dan itu masih belum siap. Bahkan, sudah ""bersiap-siap"" sejak ketika saya di rumah sampai saya di tempat kerja. Perbarui: masih bersiap-siap bahkan sampai saya pulang kerja. Itu sekitar 10 jam tanpa akses.",negative
Mengatakan server sedang sibuk..OMG .. selama hampir 6 bulan .. aplikasi ini menjadi kurang dapat diakses ..,negative
1. Pemesanan kendaraan selalu jauh dari lokasi. 2. Kendaraan selalu tidak bergerak. 3. Pembaruan lokasi di peta tertinggal. 4. Selalu menerima pembatalan dari pengemudi.,negative
"Seluruh pengalaman itu sebenarnya luar biasa. Tapi pintasan obrolan ini: (di mana Anda, sesuai pesanan) SANGAT LUAR BIASA! Saya tidak sengaja menekannya setiap kali saya ingin menggunakan keyboard!",negative
"Harap perbaiki GPS driver atau pastikan pengemudi tahu cara melacak penumpang melalui MAP Saya sering menggunakan aplikasi ini, dan hal-hal paling konyol selalu terjadi saya memesan gocar dan gojek. Mereka selalu mengarahkan jalan yang salah dan butuh waktu 20 menit bagi pengemudi untuk menjemputku.",negative
"Setelah mengunduh aplikasi Anda, ikon aplikasi tidak muncul di permukaan agar mudah dibuka untuk melakukan pemesanan. Tidak ada peringkat pada layanan pengemudi yang disediakan untuk umpan balik.",negative
Pelacakan GPS mobil tidak akurat. Perjalanan saya sudah tiba tetapi aplikasi menunjukkan bahwa mobil masih dalam perjalanan.,negative
Peta yang melacak driver telah mengalami masalah besar belakangan ini. Saya juga melihat lebih banyak penguncian dan crash daripada di masa lalu.,negative
"Awalnya bagus, tetapi kemudian tiba-tiba saya tidak dapat masuk kembali ke akun asli saya yang sudah terdaftar di sana, yang berarti saya kehilangan banyak uang.",negative
"Aplikasi ini rusak !!! Bagi banyak bug, bahkan tangan saya tidak cukup menghitung bug! Tidak bisa mengirim gambar? Sungguh menyakitkan! Pesaing Anda mendapatkannya sejak lama!",negative
Harap hapus pembaruan saran teks dalam obrolan karena benar-benar pengguna yang tidak ramah dan kontra intuitif karena memori otot. Sekarang saya terus-menerus mengirim teks otomatis yang tidak relevan tanpa disengaja. Benar-benar tidak perlu dan terus terang bodoh.,negative
"Tolong jangan spam pemberitahuan saya dengan pesan umpan klik. GoNews? Itu adalah fitur terburuk. Pengguna meninggalkan LINEApp karena fitur seperti ""Berita"" mereka. Jangan biarkan itu terjadi pada Anda.",negative
"Saya pikir Gojek adalah aplikasi yang buruk karena akun saya tidak dapat masuk ke perangkat saya. Layanan pelanggan mereka mengatakan saya harus mengubah perangkat saya untuk login. Tunggu apa?! Saya harus membeli perangkat baru, LOL. Layanan pelanggan mereka mengatakan saya telah melanggar ketentuan layanan mereka, tetapi mereka tidak menjelaskan tentang pelanggaran tersebut.",negative
"Aplikasi ini berjalan cukup baik, tetapi saya punya satu masalah dan saat itulah saya mencoba memesan makanan, voucher tidak berfungsi. Harap perbaiki masalah ini",negative
"Cinta desain UI baru dan logo untuk layanan! Tolong beri pilihan untuk mematikan pemberitahuan promosi, itu menjengkelkan. Perluas ke lebih banyak kota di Indonesia dan negara-negara di Asia Tenggara",positive
"Mencoba untuk mengupgrade gopay saya dan gagal beberapa kali., Saya mencoba 5 tahun yang lalu sekitar 5 kali dan gagal. Hari ini saya mencobanya lagi dua kali dan gagal. Tolong jangan membuat pengguna Anda frustrasi.",negative
Sistem GPS adalah kesalahan sepanjang waktu. Saya harus memindahkan pesanan penjemputan saya sepanjang waktu karena sistem GPS selalu mendeteksi saya secara otomatis sekitar 5 meter dari tempat saya berdiri.,negative
Aplikasi saya tidak dapat memuat voucher untuk beberapa minggu ini. Saya tidak dapat mencari lokasi juga. Apa yang terjadi dengannya? Ponsel cerdas saya adalah Samsung A30. Tolong perbaiki,negative
"Tidak dapat mengakses makanan pergi. Itu selalu mengatakan mengaktifkan lokasi. Saya sudah mengaktifkan GPS, tetapi notif terus berdatangan. Tidak apa-apa sebelum pembaruan baru. Tolong perbaiki ..",negative
Itu tidak bisa diterima! Saya menerima begitu banyak spam di email saya. Tidak ada cara untuk berhenti berlangganan atau menghapus profil saya.,negative
"Aplikasi ini sangat bagus sampai saya mengisi ulang gopay saya dan memesan perjalanan. Saya baru saja menghabiskan 5rb tetapi saldo saya hanya tersisa sekitar 1rb, seharusnya lebih dari itu sebenarnya karena saya hanya menambah pulsa. Harap perbaiki dan saya akan mengubah ulasan bintang saya. Terima kasih",positive
"Tidak ada pengaturan pemberitahuan dalam aplikasi atau sesuatu yang dapat membuat semua promo ke F tutup mulut. Bahkan hampir semua spam promo bahkan bukan komunikasi darurat, jadi lebih baik lepaskan pengaturan untuk menutup spam.",negative
"kenapa kamu harus login lagi? saat kedua saya login setiap pembaruan, semakin aneh aplikasi ini, misi saya hilang lagi😡",negative
"Tidak ada paket yang tersedia setelah membelinya pertama kali. Sudah satu bulan belum ada paket untuk dibeli. Begitu banyak iklan pengemis, layanan tersebut telah menjadi iklan donasi itu sendiri.",negative
"Kemudahan penggunaan aplikasi dan navigasi. Sampai sekarang tidak ada masalah besar yang dihadapi dengan penggunaan, ongkos, pembayaran & driver aplikasi.",positive
"Tidak dapat menebus poin sama sekali. Halaman terus memuat. Sementara 6.000 ++ poin saya akan kedaluwarsa bulan depan. CS juga tidak menanggapi keluhan saya sama sekali, dari Twitter atau dari aplikasi gojek itu sendiri. Pengalaman gojek yang terburuk",negative
"Pemberitahuan push terlalu banyak yang tidak berguna dari aplikasi ini. Spamming seperti orang gila ketika saya sedang bekerja, heck bahkan ketika waktu tidur. Pengalaman buruk, saya lebih suka menggunakan pesaing Anda hanya karena iklan spam Anda yang mengganggu. WHO TF PEDULI TENTANG BERITA ANDA",negative
"Setiap kali saya mengganti SIM, saya perlu alamat email baru. Tidak masuk akal sama sekali. Tidak terinstal.",negative
"Aplikasi luar biasa tetapi pengembangan yang lebih baru hanya membingungkan saya, tetapi gojek selalu ada di hati saya, tidak ada matte di mana pun saya berada dan saya selalu menyukai gojek. Saya pikir kalian hanya perlu mengubah cara kerja poin dan harga antara uang tunai dan gopay karena saya selalu menggunakan gopay",positive
"Pembaruan terakhir sangat mengerikan. Status driver tidak akurat, dan tidak bisa mendapatkan driver.",negative
"Saya menggunakan samsung note 5 dengan pembaruan gojek aps terbaru, tetapi tidak lagi dapat menggunakan go ride atau go car karena ada masalah dengan peta? Mencoba untuk menghapus dan menginstal ulang sepertinya tidak berhasil bagi saya. Tolong perbaiki ini.",negative
"Sangat berguna, pada dasarnya saya menggunakannya setiap hari. Namun, seringkali server mengalami kesalahan, membuat pemesanan / pesanan sulit.",positive
Aplikasi sejauh ini sangat baik. Satu-satunya yang saya keluhkan adalah kemungkinan untuk mendapatkan pengemudi sepeda dengan jarak tempuh sekitar 10 Km hampir nol.,negative
Saya ingin membayar dengan kartu tetapi aplikasi macet. Jadi saya coba dan coba. Akhirnya mereka memegang uang saya senilai 70 plus dolar. Saya benar-benar membutuhkan uang itu pada hari itu..biasanya mereka melepaskan uang saya setelah 3 4 minggu. Menyedihkan .. jangan unduh.,negative
"setelah membeli voucher Go Food Festival (20 voucher), saya tidak bisa menggunakannya. katanya tidak ada restoran yang terdaftar. dan POOF, itulah sebabnya saya kehilangan saldo gopay saya dari paket voucher penipuan ... pekerjaan bagus 👍",negative
"Mengapa poin ini kedaluwarsa? Di reset pada bulan desember, beberapa voucher juga hanya berfungsi seperti 1 per bulan dan hampir tidak dapat digunakan lagi. Saya telah menyimpan poin seperti 2 tahun yang lalu BOOM poin yang saya kumpulkan sampai 8 k hilang",negative
"Menggunakan aplikasi tanpa keluhan terakhir kali saya berada di Bali, sekarang saya tidak bisa masuk dan tidak bisa mendaftar ulang, tidak ada tanggapan dari dukungan, sangat tidak berguna.",negative
Tidak dapat memutakhirkan gopay ke premium .. Setelah selfie dengan ID itu terus mengatakan tunggu sebentar untuk mengunggah dokumen. Ini kali ke 3 uninstall dan instal ulang .. Masalahnya masih ada.,negative
Tidak bisa masuk. Mengatakan detail saya sedang digunakan. Menunjuk saya di Facebook tetapi meminta detail saya. WTaF sedang terjadi?,negative
Saya ingin mengucapkan terima kasih kepada sistem pendukung Gojek. Baru-baru ini saldo Gopay saya tidak bertambah setelah top up jadi saya meminta bantuan untuk mendukung. Dua hari kemudian masalah saya diperbaiki dan saldo Gopay saya menunjukkan jumlah yang benar. Layanan luar biasa!,positive
"Sangat terjangkau, dan saya bisa menggunakannya kapan saja di mana saja. Banyak diskon dan cashback tersedia. Gojek terima kasih untuk tahun-tahun terakhir bersama Anda!",positive
Saya bahkan tidak melakukan apa pun dengan akun saya tetapi selalu mengatakan ada yang salah dengan akun saya. Tidak ada penjelasan tentang itu juga.,negative
"Mengapa saya tidak bisa masuk ke akun saya ?? Saya membuat akun baru menggunakan nomor & email Telepon yang berbeda, masih belum bisa masuk .. Perbaiki ini ..",negative
"Aplikasi Anda yang diperbarui memiliki masalah. Ketika saya memeriksa pin saya, pad nomor menghilang dan tidak ada cara untuk memasukkan. Memperbaiki aplikasi Anda! Atau kehilangan semua klien Anda untuk diraih.",negative
Ini kedua kalinya saya membeli barang secara online dan menggunakan gosend pada hari yang sama ... dan Anda tahu apa ... ada ketidakcocokan antara penunjuk lokasi drop off dan alamat tujuan yang sebenarnya. Ini menjengkelkan dan membuang waktu untuk konsumen dan kurir. MEMPERBAIKINYA !!!!,negative
"Manajemen sesi yang buruk, harus masuk jika aplikasi tidak digunakan untuk sementara waktu. Saat ini, saya tidak bisa masuk ke akun saya.",negative
"Yang terbagi dua sebelum obrolan otomatis muncul selalu mengganggu Anda karena Anda akan selalu mengklik ""posisi mana"" itu, karena secara alami mengklik sisi bawah untuk menampilkan keyboard.",positive
"Peta GPS membutuhkan akurasi yang lebih baik. SEPERTI lokasi real-time yang lebih baik untuk pengemudi, klien, dll. Khusus diperlukan jika keduanya bukan lokal",negative
Tidak dapat diandalkan dan bermasalah. Tidak transparan dalam perhitungan tarif. Kemungkinan besar berdasarkan garis lurus yang ditunjukkan pada GPS. Tarifnya sangat rendah berkali-kali,negative
Mengapa memancing kami dengan poin go dan kemudian membuat mereka sama sekali tidak berguna dan kemudian membuat mereka berakhir dengan cepat. Saya pindah ke Grab sekarang karena ini.,negative
"setelah saya memperbarui ponsel saya ke android 10, aplikasi ini tidak lagi digunakan, silakan perbarui, masalahnya, macet di layar login",negative
"Sangat buruk! Tidak dapat mengambil penumpang lain dalam perjalanan dari Ghim Moh ke bandara. Pengemudi menyarankan saya untuk mengubah lokasi. Setelah saya berganti ke Chin Swee Road, ongkosnya masih sama !! Menuju Bandara dengan harga $ 23 !! Pastor Ghim Moh ke Chin Swee !! Cheat cheat cheat !!",negative
"Jauh lebih baik daripada aplikasi serupa yang dimulai dengan Gr diakhiri dengan ab. Raih, ya.",negative
"idk mengapa, tetapi nomor saya telah menggunakan nama lain dan email lain sementara nomor saya tidak pernah aktif dan karena alasan itu, saya tidak bisa menggunakan aplikasi ini. tolong perbaiki.",negative
Baik. Berharap dapat memesan 2 lokasi dalam perjalanan yang sama. Misalnya pertama untuk menjatuhkan anak di lokasi A dan kemudian melanjutkan perjalanan ke tempat kerja di lokasi B.,positive
"Gagal memindai lokasi saya, bahkan saya mencopot-instal, menginstal aplikasi terbaru yang diperbarui, menghapus cache, menghapus data. Argh frustasi !!!",negative
Pembaruan lokasi pengemudi harus lebih akurat. Sangat tidak akurat sekarang,negative
"Ini aplikasi yang sangat membantu, tapi sayangnya itu tidak bisa menyimpan atau mengenali alamat dengan benar. Saya harus memberi tahu pengemudi alamat yang benar.",negative
"Restorannya terlalu jauh ??! Apakah ini fitur baru yang mencegah saya memesan dari restoran yang saya pesan sebelumnya ?! Bagaimana cara menghapus ini? Jika tidak ada kemungkinan untuk memesan dari restoran ""karena terlalu jauh"" Saya akan 100% menggunakan Grab Food dan tidak pernah lagi menggunakan Go-Food",negative
"Pengemudi tidak mengambil dan hanya pergi ke tempat lain. Peta bodoh itu mengatakan ""1 menit"" meskipun mobil semakin jauh. Tidak ada tindakan pencegahan untuk driver tugas semacam ini?",negative
"Gojek telah banyak berkembang, tetapi selalu gagal mendeteksi lokasi saya berdasarkan promo yang diberikan kepada saya",positive
"Terlalu sulit untuk menggunakan pick up gocar instan. Sudah lama menunggu untuk mendapatkan sopir di bandara.! Harap buat seperti sebelumnya, ketika pelanggan dapat memesan gocar di setiap tempat di bandara",negative
"Berhati-hatilah ketika Anda dapat mengisi ulang melalui driver, ketika pengisian tidak berhasil, tidak mudah untuk mendapatkan uang Anda kembali. Hati-hati!",negative
"Gojek yang terhormat, hanya apa yang Anda lakukan pada pembaruan terakhir saya ... itu sangat sangat tidak stabil .. selalu mengatakan server sibuk ... dan saya tidak bisa mendapatkan driver semudah sebelumnya, setelah saya dapatkan satu maka itu harus berada dalam jarak yang sangat jauh ......... itu hanya menghancurkan hatiku: '(</ 3",negative
"Flash selalu menyala saat mengambil gambar untuk meng-upgrade gopay dengan opsi ktp dan sim, dan tidak ada tombol untuk mematikannya sementara opsi paspor menggunakan aplikasi kamera normal apa ini bs?",negative
"Selama masih bagus. Tetapi promo ini membutuhkan lebih banyak seperti grab. Sekarang gofood tidak bagus jadi mahal, tidak ada lagi voucher untuk makanan. Hanya minum .. kami tidak suka voucher minuman",negative
Semakin rumit. Bahkan tidak dapat memasukkan kartu saya sebagai pembayaran utama. Anda kalah dari Grab.,negative
"Lebih banyak opsi pengiriman di toko online seperti tokopedia. Saya merekomendasikan GOBOX untuk pesanan pengiriman di tokopedia untuk mengirim hal-hal yang lebih besar seperti akuarium, tv, atau hal-hal besar yang membutuhkan mobil daripada sepeda motor!",negative
"Cara hebat dan cara termudah untuk menemukan transportasi, pengiriman makanan, banyak diskon .. Menyukainya!",positive
"Cepat, Terjangkau (saat tidak di puncak jam) .. Mudah dimengerti & perjalanan lancar😊",positive
"Di aplikasi GOJEK saya tidak dapat menemukan fitur untuk mengirim keluhan dan umpan balik saya tentang layanan GOJEK. Saya baru saja menemukan bahwa saya tidak dapat menemukan pasar baru zamrud Bintaro dan Pahlawan zamrud Bintaro dengan GOJEK naik, jadi saya tidak dapat memeriksa tarifnya dari titik penjemputan ke tempat-tempat itu.",negative
Salah satu aplikasi favorit saya di ponsel saya. Terima kasih banyak atas layanan yang luar biasa. Terus perbaiki. Go-Food adalah fitur favorit saya. Salut kepada pengemudi.,positive
"99,8% dari waktu pengalaman pengguna yang sempurna .. Tetap bekerja dengan baik 😃",positive
"Bug, tidak dapat meluncurkan aplikasi (tidak pernah mengakhiri lingkaran pemuatan). Tolong butuh bantuan",negative
"Terbaik, aku menyukainya. Ini adalah hal terbaik yang ada di ponsel Anda ketika Anda berada di Indonesia. Cara pergi gojek ... :)",positive
Sejauh ini baik. Sangat baik dalam layanan pelanggan. Aplikasi yang benar-benar melayani yang membantu orang setiap hari.,positive
Kadang lebih murah daripada ambil. Aplikasi jauh lebih mudah digunakan dibandingkan dengan beberapa pesaing. Pertahankan kerja bagus!,positive
Harap perbaiki pop up balasan cepat. Secara otomatis muncul dan menyebabkan saya menekannya secara tidak sengaja.,positive
"Tidak dapat menggunakan aplikasi setelah meningkatkan versi. Sudah menghapus dan menginstal aplikasi, menghapus cache juga.tapi tidak berhasil😑",negative
Akurasi lokasi sangat buruk. Saya memiliki masalah setiap kali saya menggunakan aplikasi ini.,negative
"Fitur-fitur baru yang menjengkelkan bertemu dengan driver pertama di tempat dengan 6 kode tidak berguna, menunggu terlalu lama saya sudah membatalkan 2x",negative
"Kata-kata jelek untuk promo, yaitu promo gofood, bahkan diskon 10k tidak benar-benar 10k. Ketika checkout ada di sana-sini harga tambahan dan diskon 10k digunakan untuk mendiskon harga tambahan itu. Pada akhirnya Anda hanya mendapatkan diskon 2-3 k. Kecewa.",negative
"Aplikasi hebat tetapi akan lebih baik bagi pengguna Jakarta jika kita dapat menetapkan permintaan ""nomor polisi ganjil atau genap""",positive
layanan yang sangat membantu !!! mencintai setiap pembaruan aplikasi ini !!!,positive
"Intuitif dan sederhana. Satu saran, bawa mode gelap! Itu akan luar biasa!",positive
"Perjalanan online yang bagus sejauh ini, dan antarmuka pengguna mudah dipelajari",positive
Terjebak menemukan gps. Tapi itu sudah terdeteksi tetapi tidak akan membiarkan saya membuka menu makanan.,negative
"Tidak puas dengan layanan. Ms ART mengkonfirmasi pembayaran dengan kartu kredit (bukan tunai), tetapi penumpang (tamu) diminta untuk membayar.",negative
"tidak bagus, struk yang lebih dari 15 transaksi tidak dapat ditemukan pada aplikasi, bukan suita le untuk pelanggan mobilitas tinggi. lebih baik mencari aplikasi lain",negative
"Saya memilih bahasa Inggris tetapi semuanya dalam bahasa Indonesia. Karena ini, akun saya dijatuhkan !! Saya ingin tahu apakah ada cara untuk memperbaikinya!",negative
