review,rate
"Voucher udah approve kok ditarik lagi? Gimana tho anda ini. Enak ya, udah disharelink ke temen - temen dan kok ya voucher ditarik. Pindah ojol sebelah aja. Udah promo semakin lama semakin merugikan customer. Rindu jamannya CEO Pak Nadhiem. Udah lah gulung tikar aja.",1
"Saya cuma tanya,apa alasannya tiba-tiba voucher dihapus?apa cuma suruh update apk versi terbaru aja?bukan kayak gitu caranya?bukan hanya driver yg di PHP,customer juga ke PHP voucher.mohon konfirmasinya..terimakasih",1
"Untuk anak kos, dengan jarangnya ada voucher Goride dan Gofood, aplikasi ini nyaris tak pernah kugunakan. Why? Mahal, jelas! Misalpun dapat voucher Gofood, voucher tersebut mubazir banget karena tak ada guna sama sekali.",1
Frank lagi ya ? Mau ada kemajuan gimana coba bikin vocer tapi di ambil lagi .. Besok2 bikin vocer pake sendiri aja ya gak usah di bagiin ke konsumen .. Maaf saya sudah sangat kecewa Pindah ke sebelah aja lebih konsisten,1
Minta tolong la..knp akun gojek saya tidak bisa digunakan lagi..malah keluar bacaanya eror coba lagi. Padahal pas itu bisa akunnya..tapi aplikasi gojeknya saya hapus..terus gk lama lagi saya download..dan saya masukanlah akun gojek saya..malah gk bisa.minta bantuannya dong🙏,4
"Nyesel upgrade...sekarang malah nggak bisa masuk...udah unistal,instal lagi tetep nggak bisa masuk..cuma ada tulisan ""ups ada yg salah"" tapi salahnya dimana nggak ada penjelasan...makin kesini kox malah makin ribet ya gojek.",1
"email saya nyangkut di nomor handphone lama kartunya sudah terblokir jadi tidak dapat menerima kode verifikasi saya sudah menghubungi gojek via email tapi dipersulit. mencoba daftar baru pakai email juga tidak bisa, jawabannya email sudah terdaftar. hadeh repot",1
Aplikasi tidak jelas. Dikasih voucher tapi tiba2 di hilangkan lagi voucher nya Kalau tidak niat tidak usah bikin voucher lah.. dasar bodoh. Aplikasi penipu Percuman instal gojek.. ga ada guna nya Tukang tipu,1
"Lapor; akun gojek saya ada masalah, karena merasa di rugikan dengan pencurian akun / hack.. jdi tagihan paylater saya tidak bisa dibayar... Tolong, saya mau membayar berapa yang saya pakai.. sudah email berkali/kali belum dibalas..thanks..",2
"Saya uninstal aja!!! Gak tambah baik, kualitas driver makin buruk!!! Sejak awal februari dapet driver lemot"", gak bisa baca map!! Jemputnya lama!!! Payah... By; #pelanggansetiayangkecewa",1
"Karena saya di rugikan sudah isi gopay tapi mau beli pamwt internet aja gak bisa tolong dong di fix in saya udh tiga kali ngelapor tapi tidak ditanggapi,apk nya bgs tapi setiap mau beli paket internet gak bisa wtf.",3
"Alamat yg lebih dari sekali harusnya bisa tersimpan, jangan harus cari2 lewat peta.... 😒 Kalo cariin driver juga harus sesuai alur lalulintas dekat sih dekat, tapi mutar cari u-turn nya kan jauuuh..",1
Voucher tiba tiba hilang sendiri.. paket gofood uda gak wajar pembelian min 50-60 sdgkan vcr cuman 10ribu. . Siapa yg mau beli.. Klo kayak gini terus bisa2 semua uninstall gojek krn tdk sepadan dan gak kaya dlu paketan wajar..,1
"Beri voucer gak pernah serius, sebagai anak kos saya kecewa banget.. voucer 10 rb harus beli 50 rb.. gak niat banget kasih voucer.. masih enakan GRAB kalau order food masih bisa dapat potongan 15 rb..dengan minimal belanja 35 rb 👎",1
"Apk nya jadi berat padahal jaringan Tel***sel paling bagus, dan ram 2gb, tapi suka nge hank.. tolong dipikirin gimana kalo ada customer pake hp di bawah 2gb jadi susah untuk order, yg jadina uninstall dan beralih ke apk sebelah.",4
Gojek skrg pelit...pelit kasih voucher ke customer..pelit kasih orderan ke driver akibatnya banyak driver yg gk bisa tercapai poin akhirnya sehingga gk dpet bonus insetifnya walopun mereka udh ngojek hampir 24jam ..tega banget!!!!!!,1
"Kasihan driver nya kalo fitur nomer disembunyikan, customer sudah punya fitur blok number ngapain lagi di hidden. Pikirkan jg sudah tarif murah, driver jg harus keluar pulsa. Developer Jgn ngawur",4
"aplikasi back pas mau ngetik lokasi tujuan. sudah uninstall download lagi, hapus cache, hapus data. ga tau deh mau digimana in, mau pindah ke app lain tp kalo inget aplikasi bikinan anak negeri kok yo sayang, tp lama lama yg disayang kayak pengen ku buang aja. tolong diperbaiki dong app nya makasih",2
"Payah ...CEO gojek yg sekarang pelit promo,cekik driver dengan sistem 1jam 1orderan ... Harusnya management nya di perbaiki bukan sistem yg di acak-acak ... Kasian driver yg sudah dari pagi onbid harus sampai tengah malam itu jg cuman sampai poin 22 ( bonus pertama )",1
"Saya beli token game pakai gopay, kok saldo berkurang tapi token saya gk nambah, gimana nih? Kan jadi merugikan!!! Mohon bantuannya, kalau gk bisa ya tolong di kembalikan saldo saya.",1
"Agak kecewa dengan sistem gojek Kalau mencari driver agak lama padahal disekitar wilayah banyak sekali driver yg sedang online. Sebenarnya byk yg suka menggunakan jasa gojek,namun disisi lain masih ada kekurangan yg perlu diperbaiki yaitu sistem IT nya.",3
"Gojek sekarang susah datangnya lama lama,yg dekat enggak bisa masuk eh yg jauh malah masuk... Katanya ini system terbaru pemerataan .kasihan juga lihat yg uda standby malah yg jauh datang .enggak kayak dulu lagi.",1
"Saya mau upgrade gopay. Dusuruh selfie pakai ktp. Tp, kenapa ga bisa terus.. Saya sudah ngikutin rulesnya. Sampek pake krudung yang sama waktu foto ktp.. Tp, kenapa tidak diterima???",2
"Itu drivernya disuruh jgn pilih pilih orderan. Jauh dikit, gak diterima, alesan gak da duit, dll. Uda baik dicancelin dgn pilihan ubah pesennan, eh gojeknya gak tau diri, bekuin akun, mau pesen gak bisa, pdhl cancel mulu ya krn gak dpt driver yg mau jln",1
Kami sebagai customer merasa dirugikan. Driver terlalu jauh dan selalu menunggu sampai 15 menit baru dijemput. Tolong dirubah sistem pencarian Driver nya agar yang terdekat yang didapat bila diorder.,1
"Kalau ga siap bikin promo, ga usah bikin. Ini diadakan promo referral , dpt voucher 20rb,blm ada seminggu voucher di tarik kembali. Kalau ga siap jangan buat.",1
"Expresss....sedikit masukan buat admin...mhn jgn bosan2nya mengingatkn driver nya utk lebih safety tdk ngebalas chat sambil jalan, berhenti dulu br chat pelanggan.....toh selisih waktu cmn beda sekian menit, dr pd keselamatan jd taruhan...ingat keluarga anda menunggu dirumah",5
"Selama gw pake aplikasi Gojek, ini udah ber kali2 aplikasi di up date tapi peta alamat rumah gw tetep aja salah. Heran... gw kali yg geblek harusnya tinggalin aja aplikasi ky gini, bikin nyebelin...!",1
"Untuk aplikasi gojek, TOLONG! di buat lebih mudah lagi dalam membuat akun gojek, masa aku mau buat akun gojek aja gak bisa terus, gimana sih ini!!! Padahal sinyal cukup kuat, apa lgi kendalanya coba.",1
"Kenapa ya saya top up diamon mobile legend ngga masuk masuk, di ket. Dalam proses terus udah mau 2 hari, tolong lah kalo emang ada problem atau apalah, saldo mending balik lagi aja, thanks",1
Untuk pembuat sistem gojek saat ini.. anda sangat pintar.. dalam 1 jam kami di berikan 1 order.. dan target saya 30 ordeer. Sehari itu cuma 24 jam boss . Gmna bisa menyelesaikan target anda..,1
Aplikasi cacat..rawan penipuan..pihak gojek tidak selektif dalam menerima mitra driver..sistem juga rawan eror..seperti belum mengantarkan costumer tetapi tiba2 driver sudah menyelesaikan pesanan sehingga saldo gopay hilang..aplikasi busuk ini..,1
"Mohon setelah saya mengganti pin gopay mau digunakan pembayaran hanya tertulis anda telah memasukkan kode yg salah berulang kali,mohon segera diperbaiki,saya sedang butuh soalnya,segera!",1
"Kecewa memberikan vocer tapi di ambil lagi ? Baru jg satu jam ? , Di suruh update aplikasih ? , Takut ya ? Aplikasih anda sdh kalah pamor ? Kalo emang mau naikin lagi gak gitu caranya tolol",1
"Terlalu ribet + susah update gopay , di tolak terus padahal udah terang+bersih foto semua data masih aja di tolak , seperti di bodohin aja update gopay .. Udah sampai 10 kali masih aja di tolak , alasannya data kabur dan rusak . Adminnya bodoh aplikasinya yang error",1
Aplikasi taik.. Ga bs bedakan akun asli ama abal2.. Padahal tiap bulan isi gopay 1 juta an lbh.. Gegara dr driver minta cancel beberapa x akun kita d nonaktifkan.. Secara CS itu bs pantau akun orng ini performa na baik atau buruk... Sungguh nyesel 3 tahun an pake aplikasi ini kena kek gt,1
"Mohon janganlah hp driver disamarkan,aku sdh tiap hari anak ku diantar jmput,ngapain hrs disamar no hp,ga baik loh! Kalo ada apa2 gmana siapa mau tanggung jwb anak ku hilang!! Trus kenapa jika ada salah satu item yg ga ada jika mesan makanan tetap kita byr full...itu namanya penipuan",1
"Go pay saya otomatis tersedot 499.000 untuk pembelian google play oleh aplikasi yang tanpa persetujuan saya, beli pulsa saja harus masukan pin kenapa pembelian google play bisa langsung terpotong tanpa izin pemilik.",1
"Ini saran sih lebih kepada custamer... Mohon untuk tidak memberikan bintang satu pada driver soal di pesanan food. Semisal kaga ada bawang,tomat,dll nya Driver mana tau dalem nya apaan dan apa aja.. Dan mohon agar banyakin promo kasihan yang fokus kalau gak ada orderan,✌️",5
"gw order gofood domino pizza satu paket, kenapa yang ke order dua paket???? gw telpon cs ga ada yang ngangkat sampe pulsa gw abis. MENGECEWAKAN!!!!!!!!!!!!!",1
"Saya kasih bintang 1 dulu karna begitu banyak yang komentar di aplikasi gojek playstore, kenapa adminnya tidak ngerespon kesah keluh customer ya??? Costumer aja tidak di respon dengan cepat apalagi drivernya.",1
"Coba deh aplikasi driver y di rubah kaya sebelah, kita itu hari ini mau narik apa, jadi enk. Nah ini saya paling gk suka gosen di hajar gosen terus. Ya ancur poin kita. Gosen di sini gak sesuai barang besar2",5
Per tanggal 10 Februari 2020 sistem pemerataan order yg diterapkan dominan lebih byk merugikan driver yg rajin. Kembalilah pada sistem prioritas!!! Driver gojek sangat membantu akomodasi costumer,1
"biasanya stiap senin dpt voucher goride.. skrg sejak awal th 2020 gak pernah dapet lg, pdhl itu sangat membantu.. dan lg dlu klo transaksi pke gopay lebih hemat krna ada selisih harga dg trnsaksi pke tunai, tp skrg sama aja..",2
Pt gojek yg terhormat tolong orderan ya masa setiap hari orderan di kasih 2 aja. Makanya sekarang males sampai malam gk di kasih kasih. Kami punya keluarga yg harus kami nafkahi. Saya mohon bikin seperti sebelum 2 mudah dapat orderan. Trimakasih,5
"Tolong dong orderan dipermudah,... Biar lancar dan gampng dapetin orderan,,,,jangan satu jam cuma dikasih satu???lagi mana buat makan dan beli bensin!!!!!!",1
"2016 gw suka banget pake Gojek. Setiap hari pake token gw sampe banyak tapi ilang gitu aja. Seenggaknya minim dikasih voucher sesuai dengan banyaknya token sama point gw yang ilang. Voucher dari 2016 masih enak dituker udh kesini ribet token ilang, point ilang. Kalo bisa gw apus akun gojek gw apus",1
"Saya sangat kecewa ,pesanan kurang... Bukan mslah nominalnya , tp saya lagi gak ada kendaraan ,udah malam lapar , mala pesanannya nasinya gak ada , udah tk krim pesan tapi blum ada respon , nyeselnya udah tk bintang 5,stlah sya buka mala gk sesuai.. Gmana kbijakannya... Trmksh",1
"Sudah bulan ke 2 ini maps gojek ga akurat, sampe2 driver muter2 cari alamat, krn titik tidak sesuai dengan alamat. Padahal sebelumnya kalau udah ketik alamat maka titik jemput otomatis akan ngikut, klo sktng enggak. Titik sama alamat bisa beda 100 meter. Satlah",2
"Saya seringkali mendapat order fiktif tapi ketika mereka cancel tetap performa saya jadi turun,kenapa sekarang ini banyak sekali order fiktif apalagi waktu antara jam 20.00 s/d 24.00 wita.",5
"ini kenapa sih,setiap saya mau ganti profil,selalu bertuliskan ""error"" habis itu saya cb lagi malah ada tlsn 'baru aja diganti. bisa diganti setelah 24 jam lagi' padahal blm gantiganti. plis lah ya,padahal mau buat apk,udh ngisi gopay,malah begini. yg bener lah",1
Sistem gojek yang sekarang sangat buruk Kami para driver seperti di perlakukan sebagai budak 1 hari cuma bisa dapat order 5-8 order tidak sepadan dengan usaha dan resiko kami Gojek harus mengembalikan sistem seperti dahulu Bukan cuma mau ambil untung dari kami para driver,1
"ah gak jelas mau masuk pake Facebook error'mulu masuk pake nomer nomernya udah ilang, mau daftar ulang email udah kepake auto pake si kuning aja lah ribet si hijau ini harusnya sertakan masuk pake google juga jangan cuman nomer sama Facebook jadi gak ribet",1
"Berubah pikiran bintang 1 aja dulu,, Karena orderan sekarang sungguh menyiksa driver,, saya sungguh tidak setuju dengan sistem kalian Masa yang rajin di samakan dengan pemalas.sungguh keterlaluan.",1
"Enak ada Gojek motor dan Gocar yang 24 jam siap melayani saya,temen2,dan keluarga,banyakin dong promosi dan diskon nya,biar kami hapus saja aplikasi Grab yang jarang ada promosi dan diskonnya...udah gitu driver grab itu rata2 sombong judes dan ugal2an nyopirnya....""Hidup Gocar !!!",5
Aplikasi payletter ga berguna..otak ribawi..saya ga merasa pake payletter knp saya di tagih dan bunganya nambah tiap hari..aplikasi tipu2..ingat dosa riba dan ingat akhirat ..semoga berkah untuk keluarga para pekerja di payletter!!!!,1
"cukup 1 kali sebulan aja jika ada perbaikan system karena kalau selalu perbaikan system customer padankabur, voucer makan jarang ada ya, padahala kuota kita kan pada dipakai, dan ditukarkan ke google. Dibayar deh sama google, masa pelit banget sama voucer.",1
mahal tdk ada voucher disc utk pengguna Gocar..utk hub driver jgn di samarkan no telp nya karna saya pikir itu dari kartu kredit jadi tdk saya angkat yg ternyata driver menelp..kalo ada brg tertinggal tdk tau no telp driver yg bersangkutan,1
"Sudah berkali kali foto SIM, foto ktp. Masih tidak mau mengcapture. Hp baru kamera baru gambar jernih, masih saja disuruh capture berulang2 sampe bosen. Gimana mau upgrade kalau seperti ini terus.!!",1
"Sangat membantu 😁😁 Saat saya butuh diantar,ada supir go-car yg mudah dicari. Saat dingin hujan pingin makan tapi mager ada supir go-food setiap saat. Terima kasih semoga makin terdepan dan terpercaya 👍👍👍👍",5
IT gojek Di bawah standard..kalah jauh sama aplikasi sebelah.. Seandainya ITnya seimbang..pasti lebih baik .karna aplikasi sebelah lebih rakus meraup keuntungan dengan program2 barunya yg membuat drivernya semakin berkurang. semoga mendapat IT yg lebih hebat. Jngan cari IT murahan,5
Tolong aplikasi gojek.memberitahu anggota gojek nya memang jarak dekat tetapi mereka malah sengaja melewati saya dan saya terlambat untuk ibadah bila mereka tidak ingin tidak usah menerima nya. Dan terus tolong menambah fitur penghargaan untuk pelanggan yang aktif,1
Kalau sdh hujan. Sulit dapat driver. Sekali dapat posisi nya aga jauh kebanyakan nyari alsan utk di cancle. Malah ujung ujung nya akun customer di bekukan krn byk cancle. Tolong lah di perbaiki.,2
"Memperlancar mobilitas saya, dimana saja kemana saja dan kapan saja. Terima kasih gojek, semoga semakin sukses dan bisa memberikan yg terbaik tuk masyarakat Indonesia .. Aamiin",5
"Sebenarnya agak malas pakai ojol karena sering beberapa kali kecewa gara2 di pending oleh driver, sudah nungguin lama malah di gagalin di suruh nyari driver lain, kan kesel gw andaikan punya ilmu santet dah gw santet tuh oknum driver😁😂",4
"Tolong d perbaikin lagi sikap sama kelakuan driver ya . Masa gua pesen makan gak di respon, giliran istri gua yg pesan langsung d respon. . Kalau gak bisa ya tinggal batalin . Tolong dong",3
"Saya kasih bintang 3 karna drivernya main cancel aja, padalan saya sudah sama nunggu drivernya eh pas ditunggu malah di cancel. Tolong lh tingkatkn drivernya biar jangan asal cancel aja orng udh capek nunggu eh dianya cancel pesanan saya. Jadi sebel lama lama pakek gojek ini",3
"Kenapa upgrade akun saya belum selesai sampai sekarang, sudah berbulan-bulan keterangannya dokumen sedang sedang di unggah, tunggu kabar dari kami, sampai kapaaaaaaaaaaaaan coeg????????????",1
"Bapak/Ibu , operator gojek kenapa pilih driver selalu yang jauh , padahal ada yang dekat sedang online Agak ganggu kalau kondisi urgent jadi lama nunggu kedatangan drivernya",2
Saya sudah lama memakai aplikasi ini Dan saya per minggu selalu top up gopay di aplikasi ini tanpa terkendala Baru kali ini saya mengalami kendala Isi gopay melalui mobile banking kenapa tidak ada masuk di gopay saya... ? Tolong bisa dijelaskan pihak gojek YTH Terimakasih,5
Udah di isi gopay malah di kunci gopay nya gak bisa di gunakan gak ada komfirmasi lagi!!! Tolong lebih cermat lagi karena ini real akun sendiri dan siap buat persamaan data Jangan main kunci2 aja,1
"Dengan adanya ojek online dari aplikasi go-jek ini sangat membantu banget buat pemesanan perjalanan, dan pemesanan makanan kapanpun, dan dimanapun berada. #TerimaKasihGojek.",5
Sekarang order food agak susah.... Loading terlalu lama (kadang harus ulang sampe 3x) dan pasti dapat driver yg jauh dari resto. Keburu laper. NB :KONEKSI LANCAR DAN SPEK HP TINGGI,1
"Maaf, mungkin untuk driver bisa diseleksi kembali. Saya sudah beberapa kali dapat driver emosional, walaupun bnyak yg baik juga. Kami pelanggan juga pasti sudah berusaha baik, akhir"" ini bnyak driver asal asalan",3
"Kenapa pas saya baru login akun saya diblokir,padahal saya mau pesen makanan jadi gk bisa gara gara di blokir,sebenarnya ini ada apa kok akun saya tiba"" di blokir.tolong benerin ya🙏",1
"Kenapa setiap saya pesan apapun pasti server padat merayap ya. Sampai sekarang akun yang saya pakai belum bisa memesan, ingin memasukan kode vocher juga nggak bisa. Mohon bantuanya🙏",4
Tolong dong kalau mau kasi vocer yg jelas gojek. Untung sya blm pesan Coba klo saya pesen dan tiba2 vocer nya hilang atau tidak berlaku. Bisa baku hantam sya sm bang gojek nya. Mikir lah pihak gojek,1
Kenapa gara gara membatalkan pesanan di bekukan? Padahal dr pihak gojek sendiri menyediakan driver yg akan menjemput penumpang jauh. Apa konsumen harus menunggu lama untuk kedatangan driver untuk menjemput??????,1
"semenjak gojek udah ga di pegang sama Nadiem jadi ga jelas banget, gue sebagai pengguna aktif gojek kecewa banget karena dulu sering banget ada voucher gofood dan goride, lah kalo sekarang apa apaan dah gajelas owner nya, pelit terhadap customer. pelajari lagi bahwa customer adalah raja bung!!",1
"Hanya sekedar masukan saja,cuma mau menyarankan saja. Bagaimana smua driver gojek hrs bs berpakaian rapih, bersih dan wangi demi kenyamanan penumpang juga. Sekira nya pendapat saya bisa di terima dengan baik dan terima kasih",3
"Ribet bikin pin gopay, nomer udah bener malah di salah salahin. Suruh ngapus sms, udah diapus tetep gaada otp, ditolak terus. Tolong segera diperbaikin dong, jangan sampe kinerja terus terusan menurun.",1
keritik dan masukannya ya min. tolong untuk lebih di buat lebih nyaman lagi appsnya. andai kita sudah order dan mau order ganda untuk ada notiv pertanyaan apakah anda yakin ingin order ganda? kasian drivernya sering digantung orderannya sama yg gk faham,1
maaf saya uninstall soalnya hampir gapernah dapet bonus :( Tolong dong dibenerin sistemnya. Saya tinggal dimana dikasih bonus yang cuma bisa dipake di provinsi laen. Eh emangnya saya jin apa bisa pindah2 itungan detik,1
Kesel ane kenapa token saya hilang setelah update padahal sudah terkumpul banyak tokennya terus pas da mesen goride kok gak dapet dapet tokennya?padahal udah mesen berkali kali kalau sudah di perbaiki baru ane kasih bintang 5,1
"Toko saya diblokir tanpa alasan. Udah telpon ke CS berkali kali jawabannya cuma ""sedang diproses, tunggu saja email selanjutnya."" Mau nunggu sampai kiamat?? Makin kesini makin busuk Gojek. Gw doain nasibmu sama kayak Uber..!!",1
Tautau akun saya dibekukan dengan alasan akun mencurigakan Aneh banget Selama ini bertahun2 selama saya masih bekerja saya selalu menggunakan aplikasi gojek Sekarang ketika saya jarang menggunakan aplikasi karna saya sudah tidak bekerja lagi Akun malah dibekukan 😱,1
Gopayna jadi gak bisa d pakai. Sudah d upgrade th... Mentang2 hp sayanya sudah jadul. . Kenapa harus di ubah2 fitur?? Kalau tidak cocok ke semua HP. Merugikan sekali.,1
"Lu training dulu tuh drivernya jangan kerjaannya minta orang bantuin top up gopay biar poin dia nambah..... kalo gw bilang nggak mau, ntar makanan gw diludahin lagi..... paling males gw ama sifat orang indo emang model gitu",1
"Tolong dong kalo ngasih driver jangan yg jauh lokasinya.. Kita kan buru buru,, adanya gojek kan buat mempercepat waktu,, ini mah malah dikasih driver yg lokasinya jauh, padahal yg dekat ada",1
Apaan nih udah bayar pake gopay drivernya malh nagih lagi katanya saldonya berkurang lah. Aneh kampret. Soalnya semua juga gitu mas pasti bayar. Ketahuan banget driver beli akun gak tahu cara mengoprasikannya .,1
Tolong dong buat driver nya masa saya pesan gocar di cancel2 melulu sih.. mau jauh mau ngak layanan buat costumer harus baik dong jangn maen2 cancel aja.. mau cancel juga hrus ada pnjlasn nya knpa2 nya.. klau jauh iya dri awal jngn di ambil udh cancel aja.,5
Kalo gak niat kasih promo. Ngapain bikin promo. Dulu gojek jdi app favorit. Sekrang lihat tuh cs nya pada bepaling. Sbntr lgy driver nya juga pada berpaling ke sebelah,1
"Setelah diperbaharui aplikasi gojek justru untuk pilihan poin tdk bertambah setiap kali hbs pemesanan, tdk seperti sebelum diperbaharui bisa mainin poin untuk ditukar dg voucher, saya kecewa dg aplikasi ini sdh gitu tdk ada promo",3
Kecepatan paket oke hanya saja mohon untuk yg jual makanan dicek lg ya komposisinya. Masa iya pakley cuma ada telor sama kubis aja. Gilaa ya yg jual.. Kalau habis tinggal distok kosong bukannya stok masih ada tapi gx komplit masa iya jualan makanan kaya gitu.. Gx berkah.,3
Aplikasi ini sangat membantu saran aja untuk layanan gofood tolong sertakan profil lengkap pemilik kuliner atau tempatnya akan semakin baik dampak kedepan buat kedua belah fihak dan jangan lupa berikan ulasan di foto makanan,4
Saya sangat senang sekali berlangganan GOJEK Karena pelayanannya sangat memuaskan..cepat dan para Drivernya ramah dan sopan dan berhati hati menjaga keselamatan penumpang Semoga Gojek bertambah sukses dan maju,5
terima kasih sistem baru yg lebih pentingkan driver² yg selalu pilih orderan. pihak gojek lebih pentingkan org tak rajin dibandingkan org yg berjuang sepenuh sebagai mitra yang sebenarnya. sistem bodoh yg mementikan pemalas !,1
"semakin lama semakin buruk ordernya, tolong ya kalo bisa dikasih tau atau diperingatin bawa penumpang itu hati hati keselamatan yang paling utama..lebih baik saya telat daripada saya mati ditengah jalan!tolong diperbaiki lagi",2
Terimakasih..gojek layanan transportasi cepat dan nyaman..tingkatkan terus kenyamanan dan keamanan .. terutama salut untuk driver..semoga selamat dan sukses selalu,5
"Terlalu berat aplikasinya, sering error. Harusnya kalo aplikasi di hp sesederhana mungkin. Kelihatan yang bikin dan orang kantornya jarang pakai aplikasinya sendiri.",1
"Okeeeee,,,,,,,,,sangat membantu,,,,,,dan ter percaya,,,,,,,,untuk mendapat kan driver aga lama ,seperti ga ada kuota,,muter ajh,,,tapi yakin gojeg akan lebih baik ,,,,Aaamiiiiiiiiii,,,,,,,,,n",5
"aplikasi karya anak setan , klo miskin ndak usah sok"" bagi vocer cuk, aplikasi grab lbh jelas dan bermanfaat, tutup aja lo sono ,apk driver nyusain driver,apk custom ngk nguntungin custom , klo mau kaya jgn ngejajah bangsa sendiri cuk , bgstttt",1
Gojek gojek salah saya apa ?? Akun saya kok bisa PM !! Ngak pakek tuyul ngak pakek fgps murni dari PS kok bisa PM ?? Sistem apa ini ?? Katanya IT baru sistem baru tapi masih sama berat sebelah Ndak melihan kondisi dijalal bisanya langsung PM orang seenaknya aja ?!!!!!;,1
Parah pesan goshop suka di tolak terus. Alesan driver nya selalu klise ga bawa cukup uang. Driver nyuruh kita yg cancel padahal dia yg ga bawa uang. 3 x cancel akun di blokir sementara. Tolong perbaiki layanan goshop nya.,1
drver nya jauh smua yg dapat....jadi lama nunggu nya....alasan nya kata draiver pembagian orderan...bagusan kayak dulu lagi ...ntar klo dah kayak dulu lagi sistim nya baru saya kasih bintang 5......masak jauh titik jemput dari pada titik antar kan g masuk akal...kayak sistim abal2 aja jadinya,1
"saya ksh bintang 3 dlu ya,, krn saya sebagai diver gojek dpekanbaru merasa tidak adil dengan sistem saat ini,, pdhl sblm nya sistem nya baek tp masa skrg orderan nya d bagi satu jam sekali bahkan bs lebih..gmn kami sebagai driver bs tupo besar dgn sistem saat ne..",2
"Gila ya gojek, ga percaya gue duit gue ilang gitu aja. Dia ngambil Gopay gue dan GA DIKEMBALIIN! Sampe sekarang, ga ada apa apa pembelian gue seolah² ga ada tapi gopay gue dipotong!",1
"Tolong drivernya jangan ambilin yg jauh, lama nunggunya. Sama tolong aplikasi buat driver dibuat kelihatan catatan pemesanan. Capek nulis detil lokasi pick-up jadi sia2 driver pada gak liat & gak baca",3
"Makin kesini makin mundur go-pay hilang 5 hari sekarang mau transfer susah, woi kalau ada kendala bilang kasih notif jangan sampai uang udah di top up tapi nggak bisa keluar dalam waktu beberapa hari",1
"Semenjak pak Nadiem markarim jadi menteri dan meninggalkan aplikasinya, promo di gojek makin lama makin sepi, saran ya... setiap bulan adain dong promo digital... Kaya promo topup game, pulsa, pokoknya yang digital lah... Dan kurangin biaya langganan paylaternya... Sukses terus tim gojek!",1
"Kangen masa CEO Nadiem yang dulu, bukan CEO Kevin yang sekarang. sekarang udah serba kapitalis. ngadian Promo / Event ga sebegitu seriusnya, buat para customer kecewa. #savegojek",1
"Bagus bisa membantu sampai ke tempat tujuan yg tak terjangkau oleh kendaraan roda 4,tapi bayar hrus pke uang pas,klo tidak kadang2 ada driver nakal alasannya gak ada uang kembalian",4
