,0
47,"Terimakasih bung Ade Armando atas keberanian saudara menjelaskan keterbukaan ini semua.
Sungguh luar biasa Jiwa Persaudaraan anda dengan seluruh kaum umat bangsa, untuk mewartakan kebenaran.!
yg walaupun itu akan sedikit menyinggung keagamaan anda sendiri.!!😊
Ingat bung Ade Armando.
Jangan pernah takut untuk mengungkap kebenaran.!
Karena FAKTANYA,
Dulu Nabi nabi Pilihan TUHAN sebelum kita dan keagamaan kita Kristen dan Islam ada, sesungguhnya agama itu sendirilah yang tlah membunuh para Nabi2 tersebut.!!!
Iya,
Ini JELAS Saya Katakan,
Bahkan sampai YESUS KRISTUS itu Sendiri... mereka para kaum2 keagamaan Yahudi lah, yang menyalibkan BELIAU.!!!!!
Oleh karena YESUS KRISTUS menegur para pemuka2 agama saat itu.!!!
Dan mereka geram dan marah.!!!!!
Iya
Bukan siapa2,
bukan kaum kafir, bukan juga kaum barbar atau orang2 yg tdak mengenal agama.!!!
Tapi
Justru para pemuka2 agama itu sendirilah yang menggerakkan umat2 didalam keagamaannya, untuk menyerang, mempersekusi atau membunuh para Nabi2 Pilihan TUHAN disaat Mereka menegur dan menasehati dengan niat hendak meluruskan keagamaan mereka tersebut.!!😊
Ini fakta bung Ade,
Inilah FAKTA yang disembunyikan oleh seluruh keagamaan, baik itu Yahudi, Kristen, Atau Islam itu sendiri.!!
Oleh krna, 
iblis2 yg memakai mereka sebagian dr tokoh2 agama,,, tetap mau, untuk manusia itu, lebih menjunjung agamanya dari pada TUHAN Sang Pencipta itu SENDIRI.!!!!!
Ingat bung Ade,
Agama itu ciptaan manusia, dan bukan TUHAN.!
Nabi2 Pilihan TUHAN,
Tidak bergama, atau membawakan nama dari sebuah agama.!!
Tapi mereka membawakan Nama TUHAN Sang Pencipta berikut Kitab2 Suci NYA.!
Jadi
Sesungguhnya,
Apabila ada nabi yg membawa atau menegakkan nama dari sebuah agama, sesungguhnya mereka bukanlah seorang nabi TUHAN.!
karena TUHAN tidak pernah mengutus manusia, untuk supaya menegakkan hukum dan nama agama didunia ini,
Tapi
Hanyalah Hukum Perintah Yang ialah FIRMAN serta NAMATUHAN Itu SENDIRI lah yang harus ditegakkan.!!😊
Jadi
Apabila ada agama2 apapun itu yg berlebihan selalu menyuarakan nama dr agamanya,
Sesungguhnya
Inilah yang dikatakan dengan siasat atau taktik iblis untuk menjauhkan umat2 TUHAN dari suatu  kebenaran.!!!!!
Agar manusia saling berperang n membenci satu sama lain, oleh krna agamanya.!!!
Iya,
Bahkan, Hingga sampai Disaat ROH ILAHI itu SENDIRI yang turun dan lahir kedunia didalam YESUS KRISTUS. Tetap, kaum2 munafik didalam keagamaan itulah ternyata yang memusuhi kebenaran dan memnyalibkan NYA.!!!!!
😊
Salam.!!"
48,"Katanya agama kristen agama kasih
Knp yg ngebom hiroshima dan nagasaki agama apa mereka
Siapa yg memulai perang dunia satu dan dua agama apa mereka😂"
49,Semakin yakin agama datang & berlaku pada saat itu jg bukan sepanjang jaman karena peradapan terus berkembang ☕
50,"*sahih muslim 30,31,32,33*
Perintah untuk memerangi manusia hingga manusia mengucapkan 'tidak ada tuhan yang berhak disembah selain Allah dan Muhammad,
و حَدَّثَنَا أَبُو الطَّاهِرِ وَحَرْمَلَةُ بْنُ يَحْيَى وَأَحْمَدُ بْنُ عِيسَى قَالَ أَحْمَدُ حَدَّثَنَا و قَالَ الْآخَرَانِ أَخْبَرَنَا ابْنُ وَهْبٍ قَالَ أَخْبَرَنِي يُونُسُ عَنْ ابْنِ شِهَابٍ قَالَ حَدَّثَنِي سَعِيدُ بْنُ الْمُسَيَّبِ أَنَّ أَبَا هُرَيْرَةَ أَخْبَرَهُ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ أُمِرْتُ أَنْ أُقَاتِلَ النَّاسَ حَتَّى يَقُولُوا لَا إِلَهَ إِلَّا اللَّهُ فَمَنْ قَالَ لَا إِلَهَ إِلَّا اللَّهُ عَصَمَ مِنِّي مَالَهُ وَنَفْسَهُ إِلَّا بِحَقِّهِ وَحِسَابُهُ عَلَى اللَّهِ

Dan telah menceritakan kepadaku Abu ath-Thahir dan Harmalah bin Yahya serta Ahmad bin Isa, Ahmad berkata,........ 

bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: ""Aku diperintahkan untuk memerangi manusia hingga mereka mengucapkan, 'Tidak ada tuhan (yang berhak disembah) melainkan Allah', maka barangsiapa yang mengucapkan, 'Tidak ada tuhan (yang berhak disembah) melainkan Allah', maka sungguh dia telah menjaga harta dan jiwanya dari (seranganku) kecuali dengan hak Islam, dan hisabnya diserahkan kepada Allah."""
51,Tuan fir'aun vs istri abu Jahal lagi bahas apa ya???
52,Boleh tolong  dibahas tentang berhijab dlm konteks kehidupan sekarang ini Bang ade dgn adek kumaila...tks
53,"gali sejarah penyebaran islam di indonesia dgn darah dan masukan kebenaran ke dlm pendidikan biar smuanya tahu, perlu di telusuri gelar pahlawan si iman bonjol dan ponegoro, next..sesama islam masih saling bermusuhan dan bom smpai sejauh ini, jika agama ini rido awloh  knpa peradaban islam paling terbelakang, jauh lebih unggul peradaban ateis dan komunis, islam juga hmpir gk punya kontribusi bgi dunia"
54,"Adi ni oten ,kli islam dah tahu"
55,Ini beruk jw tak paham sjrh
56,"Kaya wahyudi mbantai org palestine,  wahyudi dan oten emng agama "" damai """
57,"Kalo gitu setiap negara ga usah ada tentara nya dong? Katanya udah ga zamannya perang

Udah ada hukum internasional tapi hukum internasional nya tumpul, terus lo pasrah aja ditindas? 

Mungkin ngerasanya open minded tapi sebenernya close minded 😅 very very close minded"
58,..benar hingga rakyat dipulau Jawa ketakutan karena akan diburu sultan Demak..
59,Ini ketika seseorang berbicara yang tidak sesuai dengan kompetensi 😂😂
60,"Mbak Kumaila ini tdk cocokjadi pemeluk agama islam, karena Al quran tdk mengajarkan demikian, Al quran mengajarkan byk jahatnya dari pada kenaikan...mbak  Kumaila hatinya bersih pikirannya positif seperti orang ateis orangnya baik"" menghargai sesama.
 Kalau ajaran agama yg benar...harus membenci , membunuh bagi yg tdk sefahan."
61,"𝐏𝐞𝐧𝐝𝐮𝐝𝐮𝐤 𝐃𝐮𝐧𝐢𝐚 𝐀𝐤𝐚𝐧 𝐁𝐞𝐥𝐚𝐣𝐚𝐫 𝐀𝐩𝐚 𝐘𝐚𝐧𝐠 𝐁𝐞𝐧𝐚𝐫 

Yesaya 26:9 Dengan segenap jiwa aku merindukan Engkau pada waktu malam, juga dengan sepenuh hati aku mencari Engkau pada waktu pagi; sebab apabila Engkau datang menghakimi bumi, maka penduduk dunia akan belajar apa yang benar. 

Mazmur 49:2 Dengarlah, hai bangsa-bangsa sekalian, pasanglah telinga, hai semua penduduk dunia, 49:3 baik yang hina maupun yang mulia, baik yang kaya maupun yang miskin bersama-sama! 49:4 Mulutku akan mengucapkan hikmat, dan yang direnungkan hatiku ialah pengertian.

Amsal 4:11 Aku mengajarkan jalan hikmat kepadamu, aku memimpin engkau di jalan yang lurus.

1 Korintus 2:7 Tetapi yang kami beritakan ialah hikmat Elohim yang tersembunyi dan rahasia, yang sebelum dunia dijadikan, telah disediakan Elohim bagi kemuliaan kita. 2:8 Tidak ada dari penguasa dunia ini yang mengenalnya, sebab kalau sekiranya mereka mengenalnya, mereka tidak menyalibkan Tuhan yang mulia.

Yohanes 14:6 Kata Yesus kepadanya: ""Akulah jalan dan kebenaran dan hidup. Tidak ada seorangpun yang datang kepada Bapa, kalau tidak melalui Aku.

Yesaya 32:17 Di mana ada kebenaran di situ akan tumbuh damai sejahtera, dan akibat kebenaran ialah ketenangan dan ketenteraman untuk selama-lamanya.

*Firman dikutip dari Alkitab TB-LAI 1974. Dengan hormat saya menggunakan sebutan Elohim untuk Allah, dan  nama YHWH untuk TUHAN.*

https://www.facebook.com/notes/sherly-grace-massie/1kabar-baik-kedok-penipuan-iblis-dibuka-kebenaran-yang-memerdekakan/1045697442141494/

https://www.facebook.com/notes/sherly-grace-massie/2-kabar-baik-keselamatan-datang-selamat-oleh-kasih-karunia-melalui-iman-efesus-2/1125965624114675"
62,"Perkembangan Islam diBarat saat ini tdk karena perang.. Agama kasih yg sebenarnya adalah Islam.. Konsep Jihad hanya sebagai pembelaan yg bersifat defensig, tdk ofensif.. 
Nyatanya Agama perang yg Yahudi & Nasrani yg terjadi secara telanjang saat ini"
63,"Seperti nya si ade armando tidak mengerti kenapa Nabi Muhammad itu sampai turun ke medan perang, islam adalah agama terakhir yg datang, tentu saja ini di tentang oleh orang2 kafir, dan Nabi Muhammad berperang itu tentu saja bertujuan untuk membela agama nya, apa si ade armado lupa perang salib....?
Berapa ribu nyawa melayang saat itu baik dari islam maupun yahudi di paksa agar masuk kristen....."
64,"Sesuai Konstitusi Madinah Islam itu negara damai,meskipun begitu tak menolak terjadinya peperangan jika jalan damai tak ditemukan,tetapi tidak pula cenderung melakukan peperangan tanpa sebab adanya suatu masalah.Berdirinya Madinah Al Munawwarah adalah bukti negari Islam yang damai dan bercahaya yang memprakarsai perdamaian antara kaum Ansor , Muhajirin serta suku Khazraj dan Aus bersama rasulullah Muhammad saw.Negeri yang menjadi impian umat Islam di seluruh dunia...🇲🇨🇵🇸"
65,untuk buka jalan harus a e o
66,Bohong besar Islam agama Perang Islam perang itu hanya membela diri buktinya Yahudi Israel yang memulai perang kepada Palestina lalu lalu Umat Islam  Palestina melawan itu untuk bela diri terus Amerika negara Keristen  yang memulai perang kepada Irak dan Afghanistan jadi sebenarnya  Keristen dan Yahudi yang memulai perang kepada Umat Islam tidak pernah Arab menyerang Amerika tidak kan jadi kalau ngomong jangan fFitnah ingat waktu Perang Salib antara Islam dan Keristen siapa yang mulai Keristen dengan menyerang basis basis Islam di timur tengan lalu Islam tidak tinggal diam dan melawan akhirnya Keristen dapat dikalahkan dan mengajak damai
67,"Memang demikian, kerajaan Majapahit hancur krn terdesak Islam, bahkan R. Patah salah satu bangsawan dari Majapahit mendirikan kerajaan Demak dgn menyingkirkan  pengikut Brawijaya dan terpecah ke mana2 ada yg ke p. Bali, ada yg daerah lain karena di kejar2 R. Patah untuk maduk Islam."
68,"Hafizah tapi  gak pakai jilbab, gimana tuh?"
69,"Orang bertanya sama orang yg ditanya, sama sama botol... Armando,... Armando..."
70,"Siapa juga orang ini tanpa keilmuan berani beraninya menafsirkan al quran dengan pengetahuan yg cacat logika begitu? 
Agama penjajah indonesia dgn misi gold, gospel dan glory kalian tdk anggap sebagai agama penjajah, kenapa islam yg damai damai saja kalian anggap sebagai agama perang? Islam tdk akan memerangi kalau tdk diperangi,..."
71,"Apa yg dsmpaiknnya mmg sbh fakta,BKN hnya dngara luar,bhkn diindonesiapn dpt kt lht.Hanya org² munafik yg TDK ngakui judul diatas  ,& smoga yg TDK mbgakui mndpt azab dari Alloh.Sy sbgai muslim dgn jjr mngakui sperti judulnya."
72,Propaganda + misi apa lg ini....????? orang yg gk punya kelayakan mempreming sdm rendah....
73,"Ttg ayat2 perang dan membunuh kafir, kl itu mmg ditujukan krn waktu turunnya ayat itu pd saat pwrang kenapa digunakan frasa kafir? Kenapa bukan kata musuh? Bunuhlah orang2 kafir dimanapun kamu menemuinya, kenapa bukan bunuhlah musuhmu dimanapun kamu menemuinya? Jd menurut saya ayat itu mmg ditujukan utk memusuhi kafir (orang2 yg tdk mau tunduk kpd islam kata kumaila)."
74,sangat menarik... terlihat Kumaila agak takut2 ngomong nya..
75,"Jawaban2 narsum banyak yg blunder. Dr diaolog ini kita bs amnil kesimpulan bahwa aga islam turun di jazirah arab hanya sekedar turun, bukan utk merubah ahlak masyarakat di sana spt yg digembor2kan di sini. Bukannya mengubah masyarakat, justru islam, nabi dan pengikutnya, mengikuti kebiasaan yg bwrlaku di jaman itu. Berpwrang utk menyebarkan agama, memperluasan kekuasaan, membesarkan kekuasaan. Jd sejak awal islam hanyalah sebuah klan yg didirikannoleh muhamad."
76,"Dialog yg lycu antara 2 orang muslim. Penanya mengajukan 0ertanyaan2 tajam dan sulit, mebuat narsum terpontangbpanting menjawabnya, sampai akhirnya dg terpaksa menjawab bahwa quran sdh kadaluarsa dan tdk bisa dijadikan pedoman, hanya layak dijadikan sbg bacaan sejarah. Kl spt itu sehsrusnya agama islam dibubarkan saja krn sdh tdk ada kirab yg bs dijadikan pedoman. Bener ga? Bener dong."
77,"Ya wajar2 saja kalau orang Islam tidak mau agama yang dianutnya disebut sebagai 'agama perang'. 
Kumaila pun berusaha menetralisir kesan negatip ini dengan mangatakan 'ya DI ZAMAN Nabi itu kan umum/wajar'. Tapi bagaimana kenyataannya SEKARANG? Dengarkan ujaran penuh kebencian dan kekerasan dari salah satu 'imam besar seumur hidup'-nya Islam dan juga oleh ustad2/imam2 lainnya. Bagaimana dengan ISIS? Bagaimana dengan Bokoharam? Itu semua kan di ZAMAN SEKARANG, bukan di ZAMAN NABI. Jadi, usaha penetralisiran Kumaila tidak berdasarkan fakta2 aktuil dan nyata. Tetap saja sampai sekarang mereka merasa benar menjalankan ajaran agama mereka dengan meng-kafir2-kan orang2 non-muslim dan merasa berhak memperlakukannya dengan fitnah, tidak hormat, kasar dan penuh kekerasan. Menurut ajaran agama mereka itu benar dan halal, kok. Ada kok tertulis hitam atas putih di kitab suci mereka. Nyatanya kitab suci mereka tidak direvisi dan masih diajarkan seperti apa adanya sampai saat ini."
78,Semoga para pendakwah yg suka terlalu bersemangat  dgn suara lantang dan kadang  ngak dia sadari mencampuri agama lain dan bisa buat org tersinggung semakin sadar bahwa dakwah yg demikian itu tdk cocok buat situasi sekarang karena kita semua lebih membutuhkan kedamaian supaya tdk memicu perpecahan atau peperangan
79,"Narasumber Sesat pikir sesat logika koq bisa dijadikan yg mewakili islam dalam hal ini? Beginilah jadinya kalau orang yg kurang pengetahuan dan ilmu dijadikan narasumber. Butuh ilmu penafsiran dan asbabbul nuzul utk menjelaskan ayat dalam alquran. jelas dalam al quran dikatakan ad perangilah orang yg memerangimu, bukan yg kafir apalagi kafir yg tdk memerangi...islam yg Rahmatan lil alamin mana dalam kajianmu?

Narasumber nya saja gak pakai jilbab gimana mau bisa dipercaya keilmuannya tentang islam?"
80,Intinya islm sudah tdk relevan dgn jaman modern. Justru ajaran lain yg jauh lebih tua seperti hindu budha Kristen yg mengedepankan perdamaian dan kemanusiaan masih relevan
81,Hampir semua negara Islam Ajaran perang
82,Agama yang di ridho oleh gusti allah itu semakin banyak yang membenci otomatis nabi muhammad hanya membelladiri bukan menyerang dan membunuh musuhnya tidak intinya nabi muhammad hanya membela diri jika musuh2ntma menyerang di tangkis sajabeladiri
83,Islam no thanks
84,"Anda ngga jujur,Kafir itu kristen dan Yahudi!!. Agama Anda tanpa memerangi ngga akan bertahan. Agama Anda tanpa berbohong,ngga akan bertahan dan besar!!. Kutila dan kotila berbeda,membunuh dan memerangi…itu ada di quran Hafs dan Wars,Quran anda kontradiksi. Kamu PEMBOHONG…."
85,Keristen agama penjajah
86,"Faktanya belanda yg jajah kita 360 tahun bukan islam😂
Spanyol yg jajah amerika latin bukan islam😂
Belgia yg jajah afrika bukan islam 😂
Italia yg jajah afrika bukan islam😂
Prancis yg jajah afrika dan arab bukan islam😂😂
Inggris😂😂 yg paling banyak jajahannya Bukan islam
Hitler 😂bukan islam 
Westerling 😂bukan islam
Napoleon 😂bukan islam
...yg bunuh suku maori diselandia baru, suku aborigin Di Australia, suku indian diamerika, Suku inca di America selatan Dan Suki suku Di afrika bukan islam😂😂😂
Lho kok islam yg dituduh 😂😂😂situ waras"
87,Klau nau tanya tanya dong sama ahlinya
88,"Orang ini gak berilmu mau menyalahkan quran,  malah mau ikut PBB, itu bukti israel menjajah palestina, jaman skrg masih ada penjajah israel dan sekutunya."
89,"Matius 10:34
Yesus berkata, ""Aku datang bukan untuk membawa damai, melainkan pedang"""
90,Dialog DUA ORANG CERDAS .. mantab .. NKRI akan maju kalo di penuhi dengan orang2 seperti ini ... Berpikiran kedepan..
91,"Islam berperang untuk menegakkan kebebenaran,,bathil zholim,,kalau tidak maka tentu akan membawa kerusakan,,buktinya kalau tidak islam mungkin negri ini  Indonesia tidak akan merdeka,,"
92,"Bener itu. Bukan berperang karena harta rampasan perang, bukan. Bukan untuk memperbudak, bukan."
93,"Al-Anfal · Ayat 1
Mereka bertanya kepadamu (Nabi Muhammad) tentang (pembagian) harta rampasan perang. Katakanlah, “Harta rampasan perang itu milik Allah dan Rasul (menurut ketentuan Allah dan Rasul-Nya). 

Maka, bertakwalah kepada Allah dan perbaikilah hubungan di antara sesamamu dan taatlah kepada Allah dan Rasul-Nya jika kamu orang-orang mukmin.”"
94,@@narutobinnarto fitnah!!!! Mana ada hal demikian. Itu salah memahami
95,Argumen pembenaran yg dipaksakan.. Membela karena masa itu adalah masa perang.. Trus duluan mana  Kristen sama islam
96,"Hati2 mulut lu klo bicara Islam,, klo lu gk menguasai tentang islam jgn bicara Islam... Hati2 dgn mulut ade, klo kita tidak pintar memahami kalimat ade,pasti kita ke tergiring dgn keinginan ade .. ade tidak memahami Islam sepenuh nya .. Narsum nya jg tidak kompeten tentang sejarah islam.."
97,❤luar biasa bang Armando dlm pertanyaan cocok mendapat yg terbaik
98,"Untuk hal ini jadi banyak yg tersesat & disesatkan karena interpretasinya juga tafsir masing2, yg benar katakan benar yg salah katakan salah yg selain dari itu berasal dari si Jahat.. Yang Jahat 😈👹😈.. jadi sembahlah Allah dalam Roh & Kebenaran"
99,Sebetulnya bicara agama bicara sejarah dan sejarah asa baik dan buruknya kalau memang kalau buruknya lebih banyak ya jangan ditutup tutupi karena itu bagian sejarah
100,Ahirnya cucu cunya buat Rusuh contoh Riski dn bahar
