author,published_at,comment,like,en_comment
@latihanada,2024-07-14T02:11:31Z,bodoh amat sih gak usah koarkoar tiap proyek pasti ada scurve nya kecuali proyek siluman tayangkan saja tiap hari di tv selesai tho semua rakyat bisa lihat dan berpartisipasi,0,how stupid no need to shout every project must have its scurve except for the phantom project just broadcast it every day on tv its done all the people can see and participate
@trikarunoputro1700,2024-07-14T02:02:43Z,on the track tapi ngantor nya mundur dr rencana bulan juli,0,on the track but the office departure was delayed from the july plan
@eponsariamah747,2024-07-14T02:00:35Z,uangnya lbh baik byr hutang negara yg semakin membengkak drpd bangun ikn,0,it would be better to use the money to pay off the everincreasing national debt than to build the ikn
@バユ-バユ,2024-07-14T01:57:06Z,on the track nyemplung ke jurang ini perempuan dari awal nyemplung politik omongan nya ga ada yg tepat,0,on the track plunged into the abyss this woman has been involved in politics since the beginning none of her words are right
@destavia3808,2024-07-14T01:55:23Z,lho katanya juli mo berkantor di ikn on the track kasian loe grace ngomong apo ngentut loe,0,you said july mo office in ikn on the track pity you grace what are you fucking talking about
@wyulis827,2024-07-14T01:53:58Z,gada urgensinyacuma buang duit,0,no urgencyjust wasting money
@Putrasumari-cb5wd,2024-07-14T01:49:48Z,bagus uangnya buat bali alutsista tni dan kesejahteraan sosial rakyat belagu amat utang t,0,it would be good if the money was used for balis tni defense equipment and the peoples social welfare belagu is really in debt of t
@arijatmiko1521,2024-07-14T01:46:42Z,ayo yang gak punya kerjaancuma bisa ngoceh doangcomment disini,0,come on those who dont have a jobyou can just chatcomment here
@バユ-バユ,2024-07-14T01:57:36Z,termasuk lo kah,0,including you
@arijatmiko1521,2024-07-14T02:01:49Z,weitsss gua mah pns masa depan terjamin punya pangsiun punya kontrakan pintukalo lu bingung ya besok makan apa,0,weitsss im a civil servant with a guaranteed future i have a house and a rented house with doorsif youre confused what will you eat tomorrow
@バユ-バユ,2024-07-14T02:09:14Z,arijatmiko pns hidup termajin hati hati kalau ngomong ga ada yg tau besok lo mungkin dapet musibah atau penyakit berat apa,0,arijatmiko civil servants live the most stupid be careful when you talk no one knows tomorrow you might get a disaster or what serious illness
@arijatmiko1521,2024-07-14T02:14:08Z,pastinya lebih terjamin dari lu wkwkwkkwkwkngetik aja masih salah salah sok komentarterjamin di ketik termajinkalo gak paham sulitnya membangun infrastruktur mending meneng aja deh daripada ketauan lu maennya kurang jauh wkwkwwk,0,is definitely more guaranteed than you wkwkwkkwkwk even typing is still wrong and pretending to comment guaranteed to be typed by the most stupid person if you dont understand the difficulty of building infrastructure its better to just keep quiet than to be found out that you havent played far enough wkwkwk
@バユ-バユ,2024-07-14T02:49:28Z,arijatmiko typo disini ga akan ngaruh apa apa ketimbang kontrak kerja yg pns buat di sppp kontrak milyaran tapi isi kontrak banyak typo nya ending nya ya selalu subcon pihak kedua yg harus lebih dewasa dan beresin kerjaan berantakan mereka tapi gua percaya kalau lo memang pns keliatan dari cengengesan lo dan lebih milih bahas ecek soal typo,0,arijatmiko typos here wont affect anything compared to the work contract that civil servants make in the sppp a billiondollar contract but the contents of the contract are full of typos the ending is always the second party subcon who must be more mature and clean up their messy work but i believe that if you are a civil servant it can be seen from your grin and preferring to talk trivially about typos
@blackblack1096,2024-07-14T01:46:21Z,ibaratnya ginilu mau bikin rumah baru tpi dana ga ada akhirnya ngutang sana sini tmbah program makan gratis bingung dana dr mana ujungnya para pgusaha umkm warteg diutangin dlu bayarnya nanti gajitunjangan aja trkdang telat bayarnya apalagi program baru,0,its like this you want to build a new house but you dont have the funds so you end up borrowing here and there plus the free meal program youre confused about where the funds will come from in the end the umkm warteg entrepreneurs are borrowed first and then paid later sometimes even salariesallowances are paid late let alone new programs
@SUSUFAFA,2024-07-14T01:40:45Z,tracktractor tdk tau malu,0,tracktractor shameless
@sukri5913,2024-07-14T01:34:09Z,koen mong opo,0,koen mong opo
@Rizal_Rahman97,2024-07-14T01:33:06Z,psi buzzerrp relawan projo dkk adalah perusak demokrasi hukum konstitusi hasil karya dinasti firaun cabang solo,1,psi buzzerrp projo volunteers et al are the destroyers of democracy law constitution the work of the solo branch of the pharaoh dynasty
@martinmarpaung7815,2024-07-14T01:28:20Z,terimakasih grace utk infonyasemoga ikn terus berproses dg baik,1,thank you grace for the information hopefully ikn will continue to progress well
@RakaSumerta,2024-07-14T05:56:04Z,kelompok buzzer dan penjilat kaciiaan deh,0,group of buzzers and sycophants what a shame
@mutiya5490,2024-07-14T01:27:31Z,lanjuuutttjika allah sudah berkehendakmanusia bisa apa,0,continueif god has willedwhat can humans do
@AbsGlobal-g3f,2024-07-14T01:27:20Z,sudah tapi belum,0,already but not yet
@fadlifarades0548,2024-07-14T01:24:54Z,calon penghancur negri gracia ini,0,candidate for the destroyer of the country this gracia
@maizajantoro6504,2024-07-14T01:20:01Z,satu frekuensi,0,one frequency
@ardinalmikiputra7391,2024-07-14T01:17:20Z,on the track bibir si joko ableh,0,on the track bibir si joko ableh
@alansutarjo1621,2024-07-14T01:16:17Z,tragis,0,tragic
@UripNugroho-wo2eo,2024-07-14T01:15:02Z,on the track ndasmu investornya belum ada dan proyek dihentikan,1,on the track ndasmu the investor is not there yet and the project has been stopped
@yunusbyu2514,2024-07-14T01:11:50Z,terlalu keburu buru,0,too hasty
@1ndragunawan,2024-07-14T01:10:54Z,pembangunan on the track ya betul kereta api juga jalannya on the track cuma kadang molor ikn on the track cuma molor,0,development on the track yes thats right the train is also on the track just sometimes delayed ikn on the track just delayed
@syarifal-mahdi5683,2024-07-14T01:04:50Z,perempuan dungu ini berulah sok pintar,1,this stupid woman is acting like shes smart
@vivobogor9459,2024-07-14T01:00:18Z,hutang banyak,0,lots of debt
@brigadirz6058,2024-07-14T00:50:11Z,impian aseng dan oligarki punya ikn utk bisa berbisnis aman dan nyaman dgn penguasa tanpa gangguan rakyat jelata,1,the dream of foreigners and oligarchs is to be able to do business safely and comfortably with the rulers without interference from the common people
@dedidean9729,2024-07-14T00:47:32Z,apanya yg sesuai target ooo jadi grace natalie sbg staf khusus tugas nya hanya utk info ttg ikn,0,what is in accordance with the target oh so grace natalie sbg is a special staff whose job is only to provide information about the advertisement
@COPLANETMANAJEMENINDONESIA,2024-07-14T00:46:28Z,grace tinggal disana duluan ya,0,grace lived there first huh
@rohman80rohman,2024-07-14T00:46:16Z,air dan listrik dh ada belum itu pertanyaan junjunganmu silahkan dijawab,0,is there water and electricity yet thats your lords question please answer
@zelpenrazeprinaldo6450,2024-07-14T00:45:39Z,t kemana membara imigran tiongkok mode,0,t where burning chinese immigrants fashion
@Barry-lx3hi,2024-07-14T00:44:31Z,jadi penjilat juga orang ini,0,so this person is also a sycophant
@anassonny,2024-07-14T00:43:50Z,jangan sampe kamu ke kaltim cuma bikin rusuh,0,dont let you go to kaltim youll just cause trouble
@indrayudikresna7652,2024-07-14T00:37:39Z,tertular akhirnya,0,finally infected
@patiltelu1514,2024-07-14T00:37:22Z,utang t yang hampir jatuh tempo mohon segera dilunasi ya,0,the t debt that is almost due please pay it off immediately
@ujangbedhul6273,2024-07-14T00:36:11Z,jika syarat utk mendapatkan jabatan dan kekuasaan adalah menjilat dapat dipastikan bahwa pemenangnya adalah anjig,0,if the requirement to obtain position and power is licking it is certain that the winner will be a dog
@deskyamaluddinnur7688,2024-07-14T00:31:26Z,memuakkan perempuan ini,0,this woman is disgusting
@siswoyowiryo,2024-07-14T00:29:34Z,on the endgame over,0,on the endgame over
@Maung-bx6iy,2024-07-14T00:17:56Z,grace kalo udah jadi lo kapan pindah kesono,0,grace when will you move there when you become one
@Robinhoodd728,2024-07-14T00:14:03Z,jilat sampai dadas terus makan daging spy suaranya lebih nyaring,0,lick until chest then eat meat spy the sound is louder
@putusuantana6436,2024-07-14T00:13:58Z,apdit piagam terlebay kapan ya mbak lampir,0,apdit charter terlebay when will it be attached miss
@d.n.aiditketumpki7354,2024-07-14T00:12:05Z,preettt jilat nya enak banget,0,preettt lick it really good
@lintarraya,2024-07-14T00:09:46Z,pingin lihat ini maghluk jadi jadian tunggak disana,0,i want to see this creature become a slave there
@aritulang8906,2024-07-14T00:09:11Z,aslinya mbak atau omdo,0,the original is miss or uncle
@jufriyadi8706,2024-07-13T23:59:03Z,isinya yg komen orng kecewa semua sejak kalah pemilihan tahun silam,0,the content of the comments is that everyone is disappointed since losing the election years ago
@Abdullah-e2k7n,2024-07-13T23:55:50Z,alhamdulillah maju terus bu greece jgn perdulikan omongan org yg suka nyinyir,1,thank god keep moving forward ms greece dont pay attention to the words of those who like to criticize
@nawalapatra112,2024-07-14T00:32:58Z,bukannya dia yang tukang nyinyir sekarang aja udah dapat remahan kue kekuasaan baru jadi kerbau dicocok hidung,0,isnt he the one who is a cynic now he has just gotten a crumb of the power cake and become a buffalo being chased by the nose
@chanoeif4345,2024-07-13T23:53:35Z,ini sih keliatan bgt di paksakanmasa udh masuk bulan juli pertengahanmsh ada tower crane di istanayg ada di percepat malh ga bagusjalan tol dan bandara aja msh dlm pengerjaan dan bertahapapartemen pns jg blm jadiair ama listrik blm smua adajika di paksakan bulan agustus ini tuk upacara sih msh bisa paling msh byk alat proyek di sekitarjd tdk sesuai apa yg di inginkan pleciden di akhir jabatan nykaye proyek mandalika jg lamban,0,this really looks forcedits already midjulytheres still a tower crane at the palacewhats being accelerated isnt even goodthe toll road and airport are still under construction and in stages the civil servant apartments arent finished yet water and electricity arent all thereif its forced to be in august for the ceremony its still possible theres still a lot of project equipment aroundso it doesnt match what pleciden wanted at the end of his termlike the mandalika project is also slow
@bimatanujaya6200,2024-07-13T23:46:30Z,kamu sangat mengcewakandulu kirain partai dan pimpinan nya bisa diandalkanternyata sama ajamemuakan,0,you are very disappointing i used to think the party and its leaders were reliable it turns out they are all the same disgusting
@animation93-sk7im,2024-07-13T23:45:31Z,citra terus,0,the image continues
@sambernyawaku4659,2024-07-13T23:38:59Z,yuk goyang duluuuuu,0,come on lets move first
@wahyudisupriyatno,2024-07-13T23:36:14Z,on the track on the road ngantor di ikn oon banget si encik grace gih dah ngantor bersihbersih ruang kerja ajak jamaah dan keluarga semua paling sebulan betah lanjut pulang lagi cuma selfi untuk kenangan kunker piknik ke ikn,0,on the track on the road to the office at ikn on the road ms grace is really on shes already in the office cleaning the workspace inviting all the congregation and family shell be happy to stay for a month and then go home again just take a selfie for the memories of the picnic work visit to ikn
@muhadjir2703,2024-07-14T01:04:45Z,persepsi anda sangat benar katanya partainya grace itu partai anak muda yang bersih pemberantas korupsi buktinya preeet yo nempel pada orang orang koruptor penjilat,0,your perception is very correct graces party is said to be a clean youth party that eradicates corruption the proof is preeet yo sticks to corrupt people who are sycophants
@rehatbentar5502,2024-07-13T23:34:41Z,kalo on the track kenapa boss lu ga jadi ngantor bulan juli ini dia ngaku kok gk ada air dan listrik,0,if on the track why didnt your boss come to the office in july he admitted that there was no water and electricity
@rehatbentar5502,2024-07-13T23:33:10Z,bu grace coba liat progres pembangunan rusun asn di sono bu itu besinya sdh mulai karatan,0,ms grace try to see the progress of the asn flat construction over there maam the iron is starting to rust
@akhmadagung1686,2024-07-13T23:53:38Z,kamu masih percaya bacotan para penjilat,0,do you still believe the lies of the sycophants
@rehatbentar5502,2024-07-14T00:20:04Z,akhmadagung liat sendiri sono wkwkwkwk,0,akhmadagung see for yourself there wkwkwkwk
@grandong9879,2024-07-13T23:31:08Z,bang katanya july sudah ngantor di ikn kalau sesuai target kenapa belum ngantor disana,0,bro july said shes already working at ikn if its according to target why isnt she working there yet
@zuliansyahputra7522,2024-07-13T23:29:18Z,wlwhzzmanusia menjijikan,0,wow zz humans are disgusting
@sujokojoko5452,2024-07-13T23:25:10Z,ikn jalan terus tidak usah gubris orangorang dengki yang tidak ada sumbangsihnya untuk negara,1,ikn continues to run no need to pay attention to jealous people who have no contribution to the country
@Sonia-eh1qx,2024-07-13T23:24:25Z,ikn ini salah satu simbol dari pemerataan indonesia semoga niat baik pemerintah berjalan dengan lancar dan semoga negara ini bisa bebas dari oknum pejabat yang hanya ingin memperkaya diri dengan cara merugikan rakyat,6,this ikn is one of the symbols of equality in indonesia hopefully the governments good intentions will run smoothly and hopefully this country can be free from officials who only want to enrich themselves by harming the people
@taufikashab5465,2024-07-14T02:24:05Z,kita butuh pemerataan nyata bukan simbol doang,1,we need real equality not just symbols
@RakaSumerta,2024-07-14T05:36:05Z,loh loh justru disinilah jadi tempat akan bersarangnya bagi mahluk yg mengumbar hasratnya ingin memperkaya diri pikiran anda terlalu lugu ideal dan bersih tapi naluri anda kurang tajam di setiap proyek besarlah peluang bisa terjadinya penyimpangan,1,oh oh this is precisely where the creatures who indulge their desire to enrich themselves will nest your thoughts are too innocent ideal and clean but your instincts are not sharp enough in every big project there is an opportunity for deviations to occur
@taufikashab5465,2024-07-14T06:43:05Z,rakasumerta valid,0,rakasumerta you choose
@aspendikasuma9846,2024-07-15T22:27:35Z,rakasumerta ya anda benar lugu sekali dia,0,rakasumerta yes you are right he is very innocent
@Komenbiasasaja.,2024-07-13T23:20:39Z,ayo nabung untuk beki tiket menghadiri upacara agustys di ikn paham kan,4,lets save up to buy tickets to attend the august ceremony at ikn understand
@johntitor_,2024-07-13T23:20:32Z,haha ud dpt cuan lemes lambenya skg politik busuk skg ajang cari cuan,0,haha ive got money im weak now rotten politics now its an opportunity to find money
@pardepo,2024-07-13T23:16:55Z,membaca teks itu mudah,0,reading the text is easy
@ludvyantrienidad2750,2024-07-13T23:15:43Z,kasus t apa kabarbelum lagi yg kemana larinya uang negarakok pada diem,0,whats up with case tnot to mention the where did the state money gowhy are they all silent
@ludvyantrienidad2750,2024-07-13T23:13:42Z,orang bodoh sekelas grace natali kok di pakai,0,why is someone as stupid as grace natali being used
@bilsonsimamora9297,2024-07-13T23:13:10Z,joko terbukti ga ngantor juli di ikn kok on the track,4,joko was proven not to be at the office in july at the ikn why is he on the track
@MurahRejeki-m6f,2024-07-13T23:07:42Z,jilat pantat terus sampai clingggg,0,keep licking the ass until its clingggg
@lizza7042,2024-07-13T23:04:47Z,kalau sesuai betarti president sdh berkamtor di bukan juli ini,1,if its correct it means the president will be in office in july
@muhfebriansyah451,2024-07-13T23:03:38Z,orang ini tidak konsisten dulu menghujat prabowo sekarang malah menjilat,0,this person was inconsistent in the past criticizing prabowo now he is fawning over him
@mohammadabdulkarim3283,2024-07-13T23:02:37Z,penjilat buzzer sejati no jilat no money,0,sycophant true buzzer no lick no money
@pinanditochannel6008,2024-07-13T22:57:26Z,on the mangkrak itu proyek ambisi pribadi yang tidak melibatkan rakyat sebagai pemilik negara ambyaaaarrrr pengin lihat endingnya orang yang kayak gini,0,on the mangkrak its a personal ambition project that doesnt involve the people as the owners of the country ambyaaaarrrr do you want to see the ending for people like this
@yenimulyani8362,2024-07-13T22:52:02Z,skrg jd jubir iknktnya komisaris tiktoksdhlh skrg leluasa ngomongnnt oktober lu ditimpukin wartawan krn dah g dianggap jilat dan cebokin bosnya,0,now you are the spokesperson for ikn they say you are the commissioner of tiktok now you are free to speak in october you will be pelted by journalists because you are no longer considered licking and cleaning your boss
@TeLAU-F64,2024-07-13T22:48:28Z,grece anak perusahaan pt gudang garambnyk duit biar amanpsi dulu di idamkan jd melenial skrg jd babu politik,0,grece is a subsidiary of pt gudang garam lots of money to keep it safe psi used to be dreamed of as millennials now its a political servant
@ekasapoetra4829,2024-07-13T22:46:08Z,perempuan cantik tapi mentalnya penipu tukang bohong munafik inilah penjilat baru selain si ngadalin,0,beautiful woman but her mentality is a cheater a liar hypocrite this is the new sycophant besides the ngadalin
@kusmanakadarusman3734,2024-07-13T22:45:56Z,jangan banyak bohong rakyat sudah bosen dengan ocehan para pejabat dengan kebohongannya negara ini sudah diliputi kebohongan para penguasa kalian siap jadi penghuni jeruji besi,1,dont lie too much the people are tired of the officials chatter and lies this country is already filled with the lies of the rulers you are ready to be the occupants of the iron bars
@fidalfiranda8074,2024-07-13T22:42:58Z,munafikun di percaya setali uang sama sama pinokio,0,hypocrites are believed to be of the same clothsame as pinocchio
@HartonoHartono-zp2se,2024-07-13T22:42:52Z,mbangon ikn panjang waktunya biyayanya banyak yang di koropsi itu orang seneng koropi minta panjang waktunya seneng belat belit,0,mbangon ikn long time cost many which in corruption that people like corruption ask long time like twist
@muhadjir2703,2024-07-14T01:08:17Z,ya waktu pembangunan sangat panjang peluang korupsi pasti menggila rakyat tambah miskin,0,yes the development time is very long the opportunity for corruption must be crazy people are getting poorer
@jukenkenji5382,2024-07-13T22:39:47Z,kalau kita singgung korupsi t pengecara kegelapan akan meramaikan kasua vina coba buktikan,1,if we mention corruption t the lawyer of darkness will liven up the vina case try to prove it
@HAT1909,2024-07-13T22:36:56Z,grdce dagang klontong aj ato dagang baut di asem reges jgn politik ya bau mulutnya,0,grdce just sells groceries or sells bolts in asem reges dont do politics his breath smells
@silashafara4423,2024-07-13T22:35:17Z,rakyat masih kesusahan hutan belantara dibangun uangnya ngutang lagi apa kedepannya rakyat tidak tambah sengsara,0,the people are still having trouble with the wilderness being built the money has to be borrowed again what will happen to the people in the future
@tatangmuhtar9460,2024-07-13T22:34:46Z,wanita penjilat,0,licking woman
@HeruBakri-nx4ef,2024-07-13T22:30:05Z,kita dukung terus pembangunan ikn ibu kota baru peradaban baru dan juga modern,9,we continue to support the development of the ikn the new capital city a new civilization and also modern
@MurahRejeki-m6f,2024-07-13T23:08:33Z,buat siapaaaaa emang rakyat butuh,1,for whom do the people really need
@musafirdumay9409,2024-07-13T23:26:30Z,modern apanya kota modern kox jalannya naik turun berbelokbelok sudah study banding ke ankara turkey atw canberra australia belum,0,whats modern about a modern city why are the roads so winding and up and down have you done a comparative study to ankara turkey or canberra australia
@DragoEX,2024-07-13T23:45:04Z,setuju bang sbg rakyat mendukung ikn ini plus minus slalu ada dari sbuah kebijakan tp ini bukan soal skrg tp masa depan negara ini masyarakat sekitar ku pd setuju dan senang progress ikn trus berlanjut bgitu jg saudara sy di luar pulau jawa baru kali ini ada pemerintahan yg membangun di luar jawa bahkan pusat pemerintahan nya,4,i agree as a citizen i support this ikn there are always pros and cons to a policy but this is not about the present but the future of this country the people around me agree and are happy that the progress of the ikn continues as do my relatives outside java this is the first time a government has built outside java even the center of government
@iwansantoso8117,2024-07-14T00:40:24Z,ikn lbh cocok jd wahana wisata ea,0,ikn is more suitable as a tourist attraction
@DragoEX,2024-07-14T02:34:42Z,iwansantoso bisa juga kemudian hari bukan nya bangga ya sebagai anak bangsa bisa merasakan lingkungan pusat pemerintahan negara nya sendiri dan bukan eksklusif hanya untuk pejabat saja makin cinta deh dg negeri ini,1,iwansantoso it could also be later arent we proud as a child of the nation to be able to experience the environment of the center of government of our own country and not exclusively for officials only i love this country even more
@rommuhdori1706,2024-07-13T22:27:56Z,prreeeet,0,prreeeet
@nanaherdiana721,2024-07-13T22:26:02Z,orang aneh,0,strange person
@babangtamvan2474,2024-07-13T22:21:23Z,gerombolan psikopat gak perlu di up di media gak berguna,0,theres no need to upload the psi kopat gang to the media its useless
@BismikaStoreTV,2024-07-13T22:20:35Z,belajar banyaklah dari grace natalie gak sia sia loh menjadi ahli menjilat sekian taun bisa jadi staf ahli,4,learn a lot from grace natalie its not in vain to be an expert in licking for so many years you can become an expert staff
@aspendikasuma9846,2024-07-13T23:16:46Z,ya staf ahli menjilat,1,yes staff member licks
@Robinhoodd728,2024-07-14T00:15:05Z,ahli modol,0,model expert
@iwansantoso8117,2024-07-14T00:41:24Z,jilat apa ni,1,what kind of lick is this
@muhadjir2703,2024-07-14T00:59:25Z,omongan gress pret preeet,2,gress talk pret preeet
@SupriyadiYadi-gw4he,2024-07-14T03:22:11Z,bentar lg jadi komisaris bumn bagian jilatin tangki truck pertamina,1,soon to be a bumn commissionerpart of licking pertamina truck tanks
@manullangzealot,2024-07-13T22:16:01Z,cakep jg tp syg penjilat ga punya integritas,0,shes pretty but shes a sucker who has no integrity
@abassomantri5839,2024-07-13T22:15:49Z,betul proyek jangka panjang in syaa allah diteruskan oleh pa prabowo gibran dan pemimoin seterusnya,0,its a longterm project god willing continued by mr prabowo gibran and future leaders
@anangSetyawan-cs9ko,2024-07-13T22:15:25Z,selir udah gak sabar,1,the concubine cant wait
@osasanto,2024-07-13T22:12:40Z,catat semua penjilat kekuasaan mereka berani membodohi rakyat bodoh rakyat indog emng ngk ketolong sampe orng kek gini berkuasa mampuslah negri bandit korup,0,write down all the powerhungry sycophants they dare to fool the stupid people the indonesian people are indeed beyond help until people like this come to power the corrupt bandit country will be destroyed
@nanitrasimin8648,2024-07-13T21:42:51Z,kasihan tujuan masuk politik awalnya idealis tp ujung nya penjilat jg selesai,0,poor thing the goal of entering politics was initially idealistic but in the end sycophancy is also finished
@wulidatilhikmah6759,2024-07-13T21:34:25Z,ntar kalo gua dapet rezeki gua bawa keluarga gua wisata ikn,4,when i get sustenance i will bring my family to ikn tourism
@iwansantoso8117,2024-07-14T00:40:42Z,bener ngabada panggung ala ala nazi look a like,0,thats right ngab theres a nazi lookalike stage
@santiirmawati869,2024-07-13T21:32:38Z,jadi kpn pindah nya,0,so when are you moving
@luciedesiantari6793,2024-07-13T21:31:46Z,grace dan keluarga penghuni pertama,0,grace and family first occupant
@bennyadisuryo5037,2024-07-13T21:23:54Z,yailah,1,yailah
@AdamPaturusi,2024-07-13T21:22:57Z,penjilat,0,lick
@faril688,2024-07-13T21:06:57Z,selama pemerintah indonesia tidak berani menerapkan pembuktian terbalik terhadap hartanya para pejabat negara proyek besar pemerintah on the track ajang korupsi pungli dan markup pejabat yang terkait,15,as long as the indonesian government does not dare to apply reverse proof to the assets of state officials the governments major projects are on the track to become an arena for corruption extortion and markups by the officials involved
@RahmahAisyahUnzhurna,2024-07-13T20:47:45Z,selama kasus vina belum tuntasselama rakyat kecil terzolimi jangan berharap cita cita terlaksana,9,as long as vinas case is not finished as long as the common people are being oppressed dont expect your dreams to come true
@yusdianata,2024-07-14T08:44:05Z,apa hububungannya kasus vina dengan pembangunan iknmikir pakai otak bro dengan baik,0,what is the connection between vinas case and the development of the ikn think carefully using your brain bro
@gemby7069,2024-07-13T20:42:34Z,benalu,0,parasite
@SriNurhayatiadhara,2024-07-13T20:41:59Z,horee kak grace dan keluarganya kasih contoh tinggal domisili d ikn,3,hooray sister grace and her family give an example of living in ikn
@aligunawan3940,2024-07-13T20:41:07Z,penjilat lu grace,0,your licker grace
@xinjiping2024,2024-07-13T20:27:23Z,apa susahnya sih ke korea dulu ke china dulu ke amerika dulu mereka itu bikin kota di ratain dulu tanahnya ini tanah naik turun langsung bangun jalan bangun tower mereka bukit dibelah dulu diaratain tanahnya berapa ratus ribu hektar ratain,0,whats so hard about going to korea first china first america first they build cities by leveling the land first this land goes up and down then build roads build towers they split the hills first leveling the land how many hundreds of thousands of hectares
