,comment,author,publishedAt,likeCount
14,"Ngeri ajaran kristen 
TIDAK SUKA YESUS MENJADI RAJA
Lukas 19:27 (TB)  Akan tetapi semua seteruku ini, yang tidak suka aku menjadi rajanya, bawalah mereka ke mari dan bunuhlah mereka di depan mataku.""",@sarodinsarodin9316,2024-12-02T22:38:47Z,0
15,"Waduh berarti salah dong negara kita melawan penjajah belanda, kasih pipi kanan saja, jangan berperang yaaaah",@agusfirman3019,2024-12-02T22:32:29Z,0
16,"Yaaah ngomongin al quran tapi kagak kompeten, video sampah didengerin, makan tuh fitnah",@agusfirman3019,2024-12-02T22:14:35Z,0
17,TEMPAT PERKUMPULAN OTEN²DISINI YANG MENGAKUI KEBENARAN SEMOGA DI BERIKAN HIDAYAH DAN YANG MENYANGKAL KEBENARAN SEMOGA DI LAKNAT AMIN,@watongagah8826,2024-12-02T21:52:08Z,1
18,Ade Armando ini sebenarnya tidak beragama.,@HendrikGunawan-kj7by,2024-12-02T21:09:02Z,0
19,Aku Agnostik persetan dengan kalian,@KNIL32,2024-12-02T20:56:54Z,0
20,"Mereka yg podcast gw yg deg²an. Terlalu nekad podcast ini bang 😅. Tapi salut sih ,membuka pikiran jg.",@anonymous.nusantara,2024-12-02T20:09:45Z,0
21,Suka andalah Faktanya Ind cek  Siapa pembela negara melawan penjajah,@BentoBento-c5v,2024-12-02T18:26:45Z,0
22,"Ini podcast bisa merusak bangsa,ini kita perang saudara..bahaya sekali ini tolong lah",@anggakinata6624,2024-12-02T17:48:17Z,0
23,"Sak durunge ngomong belajar sejarah disek, sak durunge ngomong moco ayat al-quran ojo sepotong sepotong, dadi wong ojo mendo mendo banget, dadi wong ojo keminter",@Eko_widiyanto01,2024-12-02T17:00:09Z,0
24,"Dua manusia awam terkait ajaran agama Islam, tapi membahas tentang Islam,,,,,kan dungu 😂😂😂,",@HasanBasri-do2dx,2024-12-02T16:52:47Z,0
25,Allah tidak melarang kamu berbuat baik dan berlaku adil terhadap orang-orang yang tidak memerangimu dalam urusan agama dan tidak mengusir kamu dari kampung halamanmu. Sesungguhnya Allah mencintai orang-orang yang berlaku adil. (Q.S Al-Mumtahanah/60:8),@fandihaekal,2024-12-02T16:50:35Z,0
26,Kata2 Kumaila terlalu menusuk hati para muslim,@OsorioJeronimo-jh1ii,2024-12-02T16:11:21Z,0
27,Ade Armando boleh cari sendiri dan baca semua isi Alquran dan hadis,@OsorioJeronimo-jh1ii,2024-12-02T16:07:07Z,0
28,"Konteknya harus di lihat juga . Jika islam tidak  berperang maka di perangi oleh orang2 yg tidak suka dengan perkembangan islam di zaman itu. Jangan hanya dari satu sisi melihat peperangan dalam zaman nabi.
Omong kosong jika suatu kaum di perangi dan tidak membela diri itu hanya teori. 
Faktanya secara individu saja jika terancam pasti membela diri, apalagi jika agama dan bangsa terancam .
Di zaman itu jika suatu kaum tidak dapat membela diri maka akan di hancurkan oleh mereka yg tidak suka dengan perkembangan islam.
Tapi di bahas mala seakan2 islam opininya di giring sebagai hal yg  menyebabkan peperangan oleh orang yg mengaku beragama islam seperti di video ini. Tapi yg perempuan masih melihat kontek secara menyeluruh akan tetapi harus ada pembelaan dari hati nurani terhadap agama sendiri  jangan biarkan orang beropini liar tanpa melihat kontek dimasa itu.  yg laki2 seakan2 mencari opini agar islam terlihat kurang pro perdamaian.
Siapa jg yg memaksa orang kafir masuk islam. Tidak ada. Tapi jika sudah masuk islam haram murtad
Karena murtad di zaman nabi berarti berhianat kepada agama dan negara.karena panji negara adalah islam karena agama sekaligus sebagai identitas bangsa dan persatuan nasional""  Ya wajar di hukum mati. Di zaman itu 
Kalau zaman sekarang orang murtad konteknya berbeda menghianati agama tidak otomatis menghianati negara.maka gak boleh lagi di hukum mati, biarkan saja tuhan yg menghukumnya di akherat kelak, karena negara tidak menjadikan agama sebagai azas negara, maka murtad tidak di anggap berhianat kepada negara. Tetapi berhianat ke pada tuhan. Jadi tuhan yg berhak menghukumnya bukan institusi negara.
Perang dalam peradaban islam itu karena musuhnya jg mempunyai pasukan perang yg juga berusaha untuk menyebarkan agamanya dengan cara 2 yg invasip masak islam diam saja.?",@hanantoanto6871,2024-12-02T16:01:06Z,0
29,Makin gblk ya si buzzer ini 😂😂,@indraudinn3349,2024-12-02T15:53:18Z,0
30,sbtkan satu saja perang di jaman nabi.. Umat muslim yg mulai perang atau sbgai pihak yg mnyrng duluan?,@faizwae197,2024-12-02T15:44:55Z,0
31,Sngt berbeda perang sbgai agresor sm yg bertahan,@faizwae197,2024-12-02T15:38:02Z,0
32,Saya kalo melihat orang islam pake juba saya takut terbirit birit.kar,@vincentjehaut2036,2024-12-02T15:01:31Z,0
33,"INGAT NEGARA2 PENJAJAH EROPA YG JAJAH INDOESIA AGAMANYA KRISTEN, ADE ARMANDO, KMU GOBLOK SEJARAH , FAKTA SEJARAH KRISTEN INDONESIA WARISAN PENJAJAH BELANDA, 
KMU ADE ARMANDO FITNAH & HUJAT UMAT ISLAM DGN BUAT JUDUL NGTU ,
COBA BAHAS .... NEGARA2 PENJAJAH EROPA APA AGAMAX YG JAJAH 300 TAHUN INONESIA",@ZoelJaya,2024-12-02T14:44:42Z,0
34,"Terima Kasih Tuhan, sudah menggiringku kepada sisi gelap, sehingga aku bisa memahami terangmu.
Kini aku punya ""mata batin"" untuk melihat kemunafikan.",@noscifi1573,2024-12-02T14:40:50Z,0
35,"Kampret ni orang, cuma nyomot2 ayat Alqur'an, bahkan  gak menjelaskan asbabul nuzulnya (sebab diturunkanya ayat tersebut). Dan lo juga iblis betina, baca juga dulu semua isi Bible'mu, lalu bandingkan dengan perintah perang dan membunuh di dalam kitabmu, justru perintah di bible lebih sadis harus membunuh bayi2, anak2, perempuan bahkan seluruh yang bernyawa paham kau..?",@rezairwan9050,2024-12-02T14:32:56Z,0
36,"Pemahamannya sudah bergeser.. Asraghfirullah, menafsirkan ayat setengah2",@endahkurniati4594,2024-12-02T14:11:05Z,0
37,Coba undang ust Felix siau,@RhajaKesrant14,2024-12-02T14:08:04Z,0
38,ade Armando gak kapok... kumaila anda itu bodoh jangan berlagak pintar...,@JonoJono-k4b,2024-12-02T13:49:36Z,0
39,Perang biasa bukan hanya pada zaman itu kali sampai sekarang juga kalau Islam tukang perang coba sekarang siapa saja yang perang di Arab,@marum2018,2024-12-02T13:15:46Z,0
40,Kalau islam tukang perang kalian gk bakal hidup dan komen disini,@zainzairony355,2024-12-02T17:10:56Z,0
41,Lucu dangkal sekali,@BimaStk-s6v,2024-12-02T12:13:16Z,0
42,"klo islam agama perang, lebih gk bagus d banding dngn agama kresten. kenapa kalian berdua tdk keluar dr agama islam pk ade dn mbk kumaila.",@kuswati1311,2024-12-02T11:52:24Z,0
43,Kucoba bertahan utk mendapat kebenaran tp ttp tdk ada...bebaskan dirimu😢😢,@ramlansitorus2178,2024-12-02T10:39:15Z,0
44,Ade Armando kau belum kapok ya....siap2 yaa,@eripriambodo305,2024-12-02T10:37:35Z,0
45,"ajaran yang berasal dari tempat gelap menghasilkan :
ancaman 
ketakutan
persekusi
intimidasi
perkosaan
pemberontakan 
kebencian
hujat
iri hati
kesombongan
dendam 
garang

ajaran dari langit terang  menghasilkan :
kasih
kebenaran 
sukacita
damai sejahtera
kesetiaan
kesabaran
kelemahan lembutan
penguasaan diri",@narutobinnarto,2024-12-02T10:44:47Z,0
46,"Kumaila ini siapa??
Baca Al qur'annya aja salah....",@eripriambodo305,2024-12-02T10:23:10Z,0
47,"Ade Armando perlu di cek ke Islamnya, orang seperti Ade Armando wajib diperangi karena sangat berbahaya untuk kerukunan umat Muslim",@BoedoetUmasugi,2024-12-02T09:48:27Z,1
48,"Islam Agama perang tapi yang banyak membunuh adalah Kristen ?? Masuk akal ???

Data Statistik yang dipublikasikan oleh Louisville University, Kentucky pada tahun 2008 menyatakan bahwa Kristen ajaran yang banyak membunuh setelah Anti-Theism (Atheis)...

Bahkan penelitian sudah dilakukan sejak tahun 90'an....
Published in 1996 harvard political scientist samuel huntington

The following is the order of civilizations responsible for mass deaths based on the last 2000 years:
1.Christian: between 119 to 236 million deaths (median 178 million)
2.Anti-theist (or atheist): median 124 million deaths
3.Hindu: median 107 million deaths
4.Buddhist: around 87 million deaths
5.Primal indigenous: 45 million deaths
6.Islamic: 31 million deaths
7.Indic: less than 2.3 million deaths

So, according to this analysis, the Christian civilization is most responsible for mass deaths in history, followed by anti-theist and Hindu civilizations.

Jadi Masuk akal Islam sebagai agama Perang tapi yang lebih banyak membunuh adalah Kristen ???",@מזרחים,2024-12-02T09:37:57Z,2
49,"Tanyakan dulu ade armando jelasnya agama apa,sehingga kita bisa menyikapinya dalam prestektif yg berbeda..jelas ade armando pernyataan itu bukan agama islam.

.jangan menunggang pada sesuatu yg bukan milik anda ade armando...yuk...ade armndo akui dulu agamanya kristen baru kita bisa jawab dalam prestektif islam..aman kan 😂😂😂😊",@Revilgaming573,2024-12-02T09:33:43Z,0
50,"Kadang mnusia menutup mata bhwa perang dunia 1,2 dan eson perang dunia ke 3 bkn disebabkan oleh agama. Namun, kerakusa mnusia itu sndiri. 
Mnyudutkan agama mayoritas di negeri ini pada akhirnya mereka akan memaafkan, namun islam hadir di negeri ini adalah bukti bahwa perjuangan kemerdekaan republik mayoritas di miliki sahamnya oleh orang islam. 
Terimakasih kaum muslim kalian tlah melindungi mayoritas di negeri ini, 
Soal islam dikatakan agama perang akan ada antitesa dan diskusi pnjang dikemudian hari. 
Tugas kita hnya ttp brfkir jernih bhwa konten ini membuat dialektika dan dskusi akan lebih menarik",@falensramadhan8403,2024-12-02T09:16:18Z,0
51,"Barusan terbukti tuh di Suriah pecah perang sesama islam, faktanya saling teriak , takbir vs takbir , percaya atau tidak 😮",@cuniartisuparta9113,2024-12-02T08:43:28Z,0
52,WOI LAKNAT KAU ADE,@SL9Phoenix,2024-12-02T08:15:06Z,1
53,"ORANG BUTA TANYA PADA ORANG TULI,,NAUDZUBILLAH MINDZALIK",@shopeecod8532,2024-12-02T07:37:55Z,0
54,"2 orang yng tdak pham agama islam dan sejarah islam tapi membahasnya dan di bkin konten,apalgi mslah perang..😅😅,knp tdak mncri sumber,pdahal sudah jlas islam itu mmerangi penjajah wkwkwk,kita melihat ke dunguan level tinggi.",@mitayesiananta380,2024-12-02T07:19:29Z,0
55,"Kalo ada ajaran agama yang menganjurkan bunuh2an harus dipertanyakan apakah benar agama itu benar berasal dari Tuhan??

Tuhan seperti apa yang membeda2kan ciptaanNYA sendiri dan malah menyuruh ciptaanNYA saling membenci dan bunuh2an",@kevinallianz7137,2024-12-02T07:11:14Z,0
56,"Dua orang pinter logika taoi miskin literasi .
Orang2 tolol sprti ade dan kumaila sdh ada sejak dulu kala .

Yah untk pelengkap kehidupan gak apa2 perlu ada manusia sperti orag dua ini ..",@TabibMulia,2024-12-02T06:19:42Z,1
57,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.",@amelamaliyah5730,2024-12-02T06:07:59Z,0
58,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.
Ini oten nih",@amelamaliyah5730,2024-12-02T06:07:45Z,0
59,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.",@amelamaliyah5730,2024-12-02T06:07:28Z,0
60,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.",@amelamaliyah5730,2024-12-02T06:07:15Z,0
61,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.",@amelamaliyah5730,2024-12-02T06:07:01Z,0
62,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.",@amelamaliyah5730,2024-12-02T06:06:45Z,0
63,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.
Ini si ade sm kumbili kok botol ya",@amelamaliyah5730,2024-12-02T06:06:31Z,0
64,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.
Ini si ade sm kumbili kok botol ya",@amelamaliyah5730,2024-12-02T06:06:23Z,0
65,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.
Ini si ade sm kumbili kok botol ya",@amelamaliyah5730,2024-12-02T06:06:15Z,0
66,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.",@amelamaliyah5730,2024-12-02T06:06:07Z,0
67,"Matius 10:34 
Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi, Aku datang bukan untuk membawa damai, melainkan pedang.
Ini si ade sm kumbili kok botol ya😂😂😂 ini mirip2 sm oten laknatullah.. siap2 ya kalian berdua dpt balasan perbuatan kalian.",@amelamaliyah5730,2024-12-02T06:04:00Z,0
68,"Dialog 2 orang bodoh, Yesus itu Rabbi, Muhammad adalah Raja seperti Daud. Yesus ga perang meninggal umur 33 th. Sebelum penyaliban dia kabur menyelematkan diri kok. Nabi memang di ajarkan untuk memimpin negara agar suatu saat umat islam memimpin negara bisa dengan adil dan ada contoh. Karena kristen ga ada contoh, lihat lah siapa yg membantai orang indian 100jt orang, siapa yg membunuh dan mengusir suku aborogin, siapa yg membunuh dan mengusir orang2 latin, siapa yg perang dunia 1 dan 2, siapa yang perang dingin. Jadi kalau baca Kitab baik Quran dan Alkitab itu harus sesuai konteks dan azbabun nuzul nya",@Ey0000,2024-12-02T06:01:58Z,0
69,"Kristen lebih hebat lagi, (maaf) bukankah tuhannya di gantung tentara romawi?, sementara ke 12 murid tuhannya, mereka semua mati dibunuh tanpa perlawanan sama sekali, dan tidak ada satu pun yang meninggal secara wajar, dikemudian hari, ribuan orang2 kristen diburu dan dibunuh secara massal di catacombe2 oleh tentara kekaisaran romawi dan juga tanpa mampu melawan sama sekali, ... kurang konflik apa lagi coba tuh, ... Kristen memang hebat disini !

Beda dgn Islam, kaum muslim berhasil melawan semua musuh2 nya dari upaya pemusnahan dan kaum muslim sukses memperoleh kemenangan yang gilang gemilang. Dalam waktu singkat kaum muslim bukan hanya mampu menaklukan kaum kafir Quraish yang kerap memerangi kaum muslim, bahkan kemudian mampu menaklukan 2 kekuatan super power dunia ketika itu yaitu Imperium Romawi dan Imperium Persia dalam sekali pukul, kemudian membebaskan wilayah2 Surya, Palestina dan Irak dan juga tentu Iran dan India Utara dari tangan tentara Romawi dan Persia.

Kemudian Mesir di bebaskan dari tangan tentara Romawi, menyusul seluruh wilayah di Afrika Utara hingga ke tepi pantai pasir putih Samudra Atlantik, kemudian tentara muslim bergerak menyebrangi selat Gibraltar untuk menaklukan Spanyol dan menguasainya hingga ke Perancis Selatan. Kaum Muslim membangun Peradapan baru yaitu sistem ekonomi baru, sistem hukum baru, sistem sosial baru dll yang wilayahnya membentang dari India hingga Spanyol/Perancis selama 800 tahun lebih (700M hingga 1400M), dimana saat yg sama Eropa masuk dalam abad kegelapan Dark Age, kebodohan, kebebalan dan lamanya juga sekitar 800 tahun, baru Eropa bangkit dgn Renessance nya di tahun 1400M. 

Eropa memasuki Dark Age begitu mereka secara massal memeluk agama Kristen sejak tahun 400M, dan kemudian mereka kembali berjaya dgn semangat Renessance, yaitu Eropa kembali menjadikan Rasionalisme Yunani menjadi dasar fondasi Peradapan baru mereka dg perlahan2 membuang kekeristenan yg telah menjerumuskan mereka menuju Dark Age selama 800 tahun sebelumnya.

Jadi beda jauh ya antara api spirit Islam awal yg mampu membawa bangsa Arab menjadi bangsa besar, membangun peradapan besar dan memimpin Dunia selama 800 tahun (700M hingga 1400M) yg wilayahnya membentang dari India hingga Spanyol/Perancis, sedangkan Kristen membawa bangsa Eropa menuju abad kegelapan Dark Age yg lamanya hampir 1000 tahun yaitu dari tahun 400M hingga 1400M.",@siswisnu,2024-12-02T05:53:45Z,0
70,agama kebnykan claim ama mudah dipolitisir... sampah..,@sempurnasaribin1547,2024-12-02T05:36:13Z,0
71,Kereeen nih cwe,@Budimiftahudin-z6p,2024-12-02T04:24:57Z,0
72,"Kafir itu artinya menutup diri woi.. belajar darimana sih ini cewek, gemes",@redyholmes8483,2024-12-02T03:17:35Z,1
73,"Nih Orang Ngarang Bebas, Nanya Ke Orang yg Menyalahkan Mulu iislam Ga ada Bener2 Nya, Kan Lucu 🤣
-Mana Sejarah di Karang2 Semua Otaak Nya Lagii 🤣",@onezein01,2024-12-02T03:15:44Z,2
74,"waduh... kumaila ngomong kok ngasal ya, main tafsir tanpa sumber, hati-hati ya..",@redyholmes8483,2024-12-02T03:09:23Z,0
75,"Memang beda ajaranya mana yg bisa menyejukan agama mana punya kedamaian,cinta kasih tingal pikir",@CustSamudera-z4h,2024-12-02T02:08:19Z,0
76,"Ayat quran sudah jelas mengatakan wahuwa kurhul lakum, artinya Allah tahu bahwa nabi berjiwa damai, dan orang orang pengikut nabi berarti orang musim juga tidak suka dengan perang, artinya sama sama suka damai.",@Wasilahpetuah,2024-12-02T02:06:53Z,0
77,cara berpikir agama yg berumur 1400 tahun dan yg berumur 2000an tahun beda lah.....yg 2000an tahun juga dlu pas 1400san juga sempat masuk dalam kegelapan kok......,@zombi1304,2024-12-02T01:34:54Z,0
78,Kristen agama penjajah dibahas juga dong,@PriaCowok,2024-12-02T01:15:30Z,0
79,"Masalah ini tidak akan terpecahkan buat mreka2 smpe kiamat akan membagongkan

Bayi cobra sudah berbisa mematikan .... Bayi kerbau sudah bisa berjalan

Maka salah satu bayi paling lemah adalah bayi manusia jgnkan buat berjalan , bayi itu utk pindah tempat saja tak mampu, hnya bergerak tak mampu berpindah... 

KLO g dikasih makan bayi manusia pasti mati Krn nyari makan g bisa, pegang botol susu juga g mampu nunggu bbrp bulan baru bisa keburu mninggal KLO bbrp hari g makan selemah itulah bayi manusia


Artinya bayi manusia itu pasti lemah.... Kita sepakati secara nyata fakta dan logikanya


Maka tidak mungkin Tuhan pernah lemah... Smua manusia itu dilahirkan (trmasuk nabi Isa melalui proses kelahiran SBG bayi) ... Manusia yg tanpa kelahiran adalah nabi Adam dan istrinya SBG bukti tuhan ada dan berkuasa menciptakan sesuatu diluar kebiasaan, diluar hukum alam (sunnatulloh) artinya Tuhan tidak mungkin sperti ciptaannya trmasuk tidak mungkin jadi manusia yg lemah.. yg tidak bisa berkutik saat di lempari batu berdarah2 menangis kesakitan dijemur berhari2 dibawah terik matahari

sesuatu yg ada dari suatu ketiadaan pasti ada sebabnya pasti ada penciptanya... Maka jika hp, kamera , satelit ada yg buat masak alam semesta ini ujug2 ada ?? Padahal para scientist mengatakan alam semesta ini awalnya tidak ada...
Hp ada yg buat bukan diciptakan krn materialnya mereka ambil dari alam bukan membuat dari nol.... 
Jgn bertanya hal konyol dan tolol berarti klo smua ada penciptanya , tuhan juga diciptakan??? Hhihihi, klo tuhan di ciptakan/dilahirkan artinya dia bukan tuhan tapi sama2 makhluk... 
Pikirkan logika sederhana anjing tidak menyembah anjing, manusia shrusnya lbih rasional tidak menyembah batu, pohon apalgi manusia yg smuanya adalah ciptaan yg lemah",@5080521,2024-12-01T23:44:55Z,1
80,"Kocak nih chanel, konten sampah",@triyanatriw1809,2024-12-01T23:34:33Z,0
81,apakah itu berarti ada masanya dimana manusia boleh menggunakan hukum sendiri dan meninggalkan hukum Allah karena tidak kontekstual. artinya hukum Allah tidak kekal.,@jacobsethjoniperus6709,2024-12-01T20:13:25Z,0
82,"Ya sekarang masanya. Gunakan hukum positif yang berlaku di Indonesia. Hukum buatan manusia yang merupakan kesepakatan bersama dari masyarakat Indonesia yang multi agama, etnis. Bhineka Tunggal Ika",@SitiHadijah-z8o,2024-12-01T20:21:05Z,0
83,Kemungkinan ade ernando masuk kristen,@khasantolib6839,2024-12-01T17:55:09Z,0
84,"Baik zaman dulu ataupun saat ini, mengobarkan kebencian adalah perbuatan sesat dan salah. Dan mohon menyudahi membawa Tuhan dlm kebencian dan mendominasi orang lain. Berarti juga dlm kondisi perang saat ini, boleh memotong kepala orang. Mengapa ajarn2 sprt ini tdk boleh dikategorikan sebagai ajaran berbahaya dan terlarang bagi peradaban manusia? Mengapa tidak sedikitpun dari kedua pembicara berpikir benarkah Tuhan memerintahkan saling membunuh atau murni keinginan Muhammad utk mempertahankan diri? Mengapa org tdk boleh berbeda dengan apa yang diyakini Muhammad? Mengapa Muhammad tdk boleh dipandang sbg org yg egonya besar memaksakan pemikirannya ke org lain dan melembutkannya seolah2 keinginan Tuhan?",@hencedarmanto939,2024-12-01T17:38:46Z,0
85,saya mengangap cewek ini tdk jujur ..artinya berusaha menutup² ajaran tentang prang itu.,@sangkakala142,2024-12-01T16:38:08Z,0
86,Itu kan situasi.... Negara kita juga merdeka.... Dari perang😁 hayoh....,@Poter_27,2024-12-01T16:34:21Z,0
87,"No problem, meskipun orang Hafizh Al-Qur'an mengajukan argumen soal konteks ayat -ayat untuk di kaji ulang kembali.Sebab Tuhan sendiri di dalam Alquran memberikan kebebasan manusia untuk berfikir.Ingat dengan firmannya ""Apakah kamu tidak berfikir"".
Ini adalah upaya Tuhan untuk mendorong akal  untuk terus berfikir dalam arti menemukan solusi terbaik  dan sempurna dalam menghadapi tantangan hidup di alam fana ini maupun di kehidupan berikutnya",@syamsuriahmad,2024-12-01T16:27:45Z,0
88,"omongan kalian ini nnti akan terbukti benar atau salah.. yaaaah kira² 5-10th lagi laaah... 
klo klian msh ada umur tpi yaaa",@nadiatia3070,2024-12-01T16:14:04Z,0
89,kirain bermutu.... tau nya sama saja...,@molluccans,2024-12-01T15:34:09Z,0
90,"baru tahu saya,pantesan dimana ada mereka disitu ada perang",@mrsgr6898,2024-12-01T15:32:42Z,0
91,"Ooohhh ini to podcast s4mp4h yg isi nya provokasi dan hasutan kebencian itu????ga ada ilmu nya ga ada edukasi nya...
Lucu ya....bukan ulama,bukan jg ahli tafsir tp sok tau menafsirkan ayat al qur'an tanpa bisa membedaka situasi nya dulu kyk apa...nyari makan kok segitunya",@rindhurindhu904,2024-12-01T15:20:33Z,0
92,ini orang mabok ketololan agama,@putuperdiwahyudi2380,2024-12-01T15:28:29Z,0
93,"🧐 Contohnya Kelompok ISIS di Praktekkan sebagai 💯% Islam termasuk Bokoharam di Afrika.
Salam Waras 😇 buat orang yang berakal Sehat.",@Johannes-b8r,2024-12-01T14:03:32Z,1
94,"Kalian berdua manusia biadab ... Ade armando pernah dapet cobaan dunia , tapi malah berlanjut melawan Alloh... Kumaila itu siapa? Ahli sejarah kah? Ahli qur'an kah? Ahli tafsir kah??! 2 manusia tdk berguna.",@muclisochin5,2024-12-01T13:58:22Z,0
95,yang tidak berguna itu anda😂 denial dikasih fakta.. minimal otak dipake,@putuperdiwahyudi2380,2024-12-01T15:29:00Z,0
96,ISLAM adalah agama yang menghendki perdamayan tidak untuk permusuhan.ini yang dimaksud islam agama damai.,@HajiRohimi,2024-12-01T13:54:16Z,0
97,Mabi Muhammad adalah pemimpinperang umtuk melawan hawa nafsu.kata beliau musuh yang paling perlu kamu taklukkan ialah musih yang ada pada tubuhmu ya'ni hawa nafsu dunia setan.,@HajiRohimi,2024-12-01T13:47:10Z,0
98,Perang menurut Islam yamg paling utama ialah melawan hawanafsu yamg ada pada tubuh kita masing2 bukan memerangi  oramg lain.kecuali oramg itu memerangi kita.,@HajiRohimi,2024-12-01T13:30:23Z,0
99,Jangan mengadu domba kawan.. Klo islam agama perang.. Pasti kmi mayoritas di Indonesia memerangi klian.. faktanya bnyak orang Kristen yg jdi pemimpin di negara ini yg notabene mayoritas muslim.. Jdi stop menyebar fitnah.. Stop mengadu domba...,@GaluBegogo,2024-12-01T13:01:25Z,0
100,"Islam terbesar ada di indonesia atau dimasa dulu disebut nusantara. Tentara islam mn yg di utus utk memerangi nusantara dn menyebarkan agama islam???. 

Sekarang pertanyaanya di balik. 
Apakah agama kristen di indonesia di sebarkan oleh penjajah belanda di masa lalu????
Silahkan kalaian jawab 😂",@BolangXventur,2024-12-01T12:39:40Z,0
101,Dia bukan islam dan tidak tau islam lucu berbicara tentang islam,@faktaanimeku,2024-12-01T12:37:03Z,0
102,Om suastiastu,@minecraftepic7452,2024-12-01T12:23:36Z,0
103,Keliatan disini buas2nya kaum kafir menyerang islam...,@wenwarast3n202,2024-12-01T12:00:37Z,0
104,Lumayan kontennya menyenangkan tmn tmn kaum nonmuslim khususnya kaum salibis,@wenwarast3n202,2024-12-01T11:57:51Z,0
