,author,published_at,comment,like,en_comment
26,@trikarunoputro1700,2024-07-14T02:02:43Z,"On the track, tapi ngantor nya mundur dr rencana bulan Juli.",0,"On the track, but the office departure was delayed from the July plan."
27,@eponsariamah747,2024-07-14T02:00:35Z,Uangnya LBH baik byr hutang negara yg semakin membengkak drpd bangun IKN,0,It would be better to use the money to pay off the ever-increasing national debt than to build the IKN
28,@バユ-バユ,2024-07-14T01:57:06Z,"on the track nyemplung ke jurang?

ini perempuan dari awal nyemplung politik, omongan nya ga ada yg tepat.
😌",0,"on the track plunged into the abyss?

this woman has been involved in politics since the beginning, none of her words are right.
😌"
29,@destavia3808,2024-07-14T01:55:23Z,"LHO KATANYA 1 JULI MO BERKANTOR DI IKN ? ON THE TRACK ???
KASIAN LOE GRACE, NGOMONG APO NGENTUT LOE ???",0,"YOU SAID JULY 1 MO OFFICE IN IKN? ON THE TRACK ???
PITY YOU GRACE, WHAT ARE YOU FUCKING TALKING ABOUT???"
30,@wyulis827,2024-07-14T01:53:58Z,Gada urgensinya...cuma buang2 duit,0,No urgency...just wasting money
31,@Putrasumari-cb5wd,2024-07-14T01:49:48Z,Bagus uangnya buat Bali alutsista TNI dan kesejahteraan sosial rakyat. Belagu amat utang 8000 T,0,It would be good if the money was used for Bali's TNI defense equipment and the people's social welfare. Belagu is really in debt of 8000 T
32,@arijatmiko1521,2024-07-14T01:46:42Z,Ayo yang gak punya kerjaan...cuma bisa ngoceh doang.....comment disini 😅,0,"Come on, those who don't have a job...you can just chat.....comment here 😅"
33,@バユ-バユ,2024-07-14T01:57:36Z,termasuk lo kah?,0,including you?
34,@arijatmiko1521,2024-07-14T02:01:49Z,@@バユ-バユ weitsss gua mah pns masa depan terjamin punya pangsiun punya kontrakan 4 pintu....kalo lu bingung ya besok makan apa ?,0,"@@バユ-バユ weitsss I'm a civil servant with a guaranteed future, I have a house and a rented house with 4 doors....if you're confused, what will you eat tomorrow?"
35,@バユ-バユ,2024-07-14T02:09:14Z,"@@arijatmiko1521 pns hidup termajin?
hati hati kalau ngomong, 
ga ada yg tau besok lo mungkin dapet musibah atau penyakit berat apa.
😌",0,"@@arijatmiko1521 civil servants live the most stupid?
be careful when you talk, 
no one knows tomorrow you might get a disaster or what serious illness.
😌"
36,@arijatmiko1521,2024-07-14T02:14:08Z,@@バユ-バユ pastinya lebih terjamin dari lu wkwkwkkwkwk...ngetik aja masih salah salah sok komentar....terjamin di ketik termajin.....kalo gak paham sulitnya membangun infrastruktur mending meneng aja deh daripada ketauan lu maennya kurang jauh wkwkwwk,0,"@@バユ-バユ is definitely more guaranteed than you wkwkwkkwkwk... even typing is still wrong and pretending to comment.... guaranteed to be typed by the most stupid person..... if you don't understand the difficulty of building infrastructure, it's better to just keep quiet than to be found out that you haven't played far enough wkwkwk"
37,@バユ-バユ,2024-07-14T02:49:28Z,"@@arijatmiko1521 typo disini ga akan ngaruh apa apa, 
ketimbang kontrak kerja yg pns buat di sppp, kontrak milyaran tapi isi kontrak banyak typo nya.
😌

ending nya ya selalu subcon pihak kedua yg harus lebih dewasa dan beresin kerjaan berantakan mereka.
😌

tapi gua percaya kalau lo memang pns, keliatan dari cengengesan lo dan lebih milih bahas ecek soal typo.
😌",0,"@@arijatmiko1521 typos here won't affect anything, 
compared to the work contract that civil servants make in the SPPP, a billion-dollar contract but the contents of the contract are full of typos. 
😌 

the ending is always the second party subcon who must be more mature and clean up their messy work. 
😌 

but I believe that if you are a civil servant, it can be seen from your grin and preferring to talk trivially about typos. 
😌"
38,@blackblack1096,2024-07-14T01:46:21Z,"Ibaratnya gini,lu mau bikin rumah baru tpi dana ga ada akhirnya ngutang sana sini, tmbah program makan gratis bingung dana dr mana, ujung2nya para pgusaha UMKM Warteg diutangin dlu, bayarnya nanti 😂 gaji/tunjangan aja trkdang telat2 bayarnya apalagi program baru",0,"It's like this, you want to build a new house but you don't have the funds, so you end up borrowing here and there, plus the free meal program, you're confused about where the funds will come from, in the end, the UMKM Warteg entrepreneurs are borrowed first, and then paid later 😂 Sometimes even salaries/allowances are paid late, let alone new programs"
39,@SUSUFAFA,2024-07-14T01:40:45Z,Track.....tractor. Tdk tau malu....,0,Track.....tractor. Shameless....
40,@sukri5913,2024-07-14T01:34:09Z,Koen 9mong opo,0,Koen 9mong opo
41,@Rizal_Rahman97,2024-07-14T01:33:06Z,"PSI, buzzerRp & relawan Projo dkk adalah perusak demokrasi, hukum & konstitusi hasil karya dinasti Firaun cabang Solo👎🏻",1,"PSI, buzzerRp & Projo volunteers et al are the destroyers of democracy, law & constitution, the work of the Solo branch of the Pharaoh dynasty👎🏻"
42,@martinmarpaung7815,2024-07-14T01:28:20Z,Terimakasih Grace utk infonya...semoga IKN terus berproses dg baik.,1,Thank you Grace for the information... hopefully IKN will continue to progress well.
43,@RakaSumerta,2024-07-14T05:56:04Z,Kelompok buzzer dan penjilat .. kaciiaan deh,0,Group of buzzers and sycophants... what a shame
44,@mutiya5490,2024-07-14T01:27:31Z,"lanjuuuttt,,,JIKA ALLAH SUDAH BERKEHENDAK,,,MANUSIA  BISA APA,,,,",0,"continue,,,IF GOD HAS WILLED,,,WHAT CAN HUMANS DO,,,,"
45,@AbsGlobal-g3f,2024-07-14T01:27:20Z,Sudah tapi belum,0,Already but not yet
46,@fadlifarades0548,2024-07-14T01:24:54Z,CALON PENGHANCUR NEGRI . GRACIA INI,0,CANDIDATE FOR THE DESTROYER OF THE COUNTRY. THIS GRACIA
47,@maizajantoro6504,2024-07-14T01:20:01Z,Satu frekuensi 😂😂,0,One frequency 😂😂
48,@ardinalmikiputra7391,2024-07-14T01:17:20Z,On the track bibir si joko ableh !!!,0,On the track bibir si joko ableh !!!
49,@alansutarjo1621,2024-07-14T01:16:17Z,Tragis,0,Tragic
50,@UripNugroho-wo2eo,2024-07-14T01:15:02Z,On the track ndasmu .....investornya belum ada dan  proyek dihentikan,1,On the track ndasmu .....the investor is not there yet and the project has been stopped
51,@yunusbyu2514,2024-07-14T01:11:50Z,Terlalu keburu buru,0,Too hasty
52,@1ndragunawan,2024-07-14T01:10:54Z,"Pembangunan on the track.

Ya betul, kereta api juga jalannya on the track, cuma kadang2 molor.
IKN on the track, cuma molor.
😂",0,"Development on the track.

Yes, that's right, the train is also on the track, just sometimes delayed.
IKN on the track, just delayed.
😂"
53,@syarifal-mahdi5683,2024-07-14T01:04:50Z,Perempuan dungu ini berulah sok pintar.,1,This stupid woman is acting like she's smart.
54,@vivobogor9459,2024-07-14T01:00:18Z,Hutang banyak,0,Lots of debt
55,@brigadirz6058,2024-07-14T00:50:11Z,Impian aseng dan oligarki punya IkN utk bisa berbisnis aman dan nyaman dgn penguasa tanpa gangguan rakyat jelata,1,The dream of foreigners and oligarchs is to be able to do business safely and comfortably with the rulers without interference from the common people.
56,@dedidean9729,2024-07-14T00:47:32Z,"Apanya yg sesuai TARGET???
Ooo jadi Grace Natalie SBG staf khusus tugas nya hanya utk info ttg ikn....",0,"What is in accordance with the TARGET???
Oh so Grace Natalie SBG is a special staff whose job is only to provide information about the advertisement...."
57,@COPLANETMANAJEMENINDONESIA,2024-07-14T00:46:28Z,Grace tinggal disana duluan ya,0,"Grace lived there first, huh?"
58,@rohman80rohman,2024-07-14T00:46:16Z,"Air dan listrik dh ada belum ?
Itu pertanyaan junjunganmu... silahkan dijawab",0,"Is there water and electricity yet?
That's your lord's question... please answer"
59,@zelpenrazeprinaldo6450,2024-07-14T00:45:39Z,"271 T kemana
Membara imigran tiongkok mode",0,"271 T where
Burning Chinese immigrants fashion"
60,@Barry-lx3hi,2024-07-14T00:44:31Z,Jadi penjilat juga orang ini,0,So this person is also a sycophant
61,@anassonny,2024-07-14T00:43:50Z,"Jangan sampe kamu ke kaltim, cuma bikin rusuh",0,"Don't let you go to Kaltim, you'll just cause trouble."
62,@indrayudikresna7652,2024-07-14T00:37:39Z,"Tertular akhirnya...
😂😂😂😂😂",0,"Finally infected...
😂😂😂😂"
63,@patiltelu1514,2024-07-14T00:37:22Z,Utang 800T yang hampir jatuh tempo mohon segera dilunasi ya... 😅😅😅,0,"The 800T debt that is almost due, please pay it off immediately... 😅😅😅"
64,@ujangbedhul6273,2024-07-14T00:36:11Z,"Jika syarat utk mendapatkan JABATAN dan KEKUASAAN adalah MENJILAT, dapat dipastikan bahwa pemenangnya adalah ANJI*G.",0,"If the requirement to obtain POSITION and POWER is LICKING, it is certain that the winner will be a DOG."
65,@deskyamaluddinnur7688,2024-07-14T00:31:26Z,Memuakkan perempuan ini,0,This woman is disgusting
66,@siswoyowiryo,2024-07-14T00:29:34Z,On The End...Game Over,0,On The End...Game Over
67,@Maung-bx6iy,2024-07-14T00:17:56Z,"grace, kalo udah jadi lo kapan pindah kesono😂",0,"Grace, when will you move there when you become one?"
68,@Robinhoodd728,2024-07-14T00:14:03Z,"Jilat sampai dadas
Terus makan daging
Spy suaranya lebih nyaring",0,"Lick until chest
Then eat meat
Spy the sound is louder"
69,@putusuantana6436,2024-07-14T00:13:58Z,"Apdit piagam TERLEBAY , Kapan ya mbak lampir",0,"Apdit charter TERLEBAY, When will it be attached, Miss?"
70,@d.n.aiditketumpki7354,2024-07-14T00:12:05Z,Preettt jilat nya enak banget,0,Preettt lick it really good
71,@lintarraya,2024-07-14T00:09:46Z,pingin lihat ini maghluk jadi jadian tunggak disana....,0,I want to see this creature become a slave there....
72,@aritulang8906,2024-07-14T00:09:11Z,Aslinya mbak atau omdo....,0,The original is Miss or Uncle....
73,@jufriyadi8706,2024-07-13T23:59:03Z,Isinya yg komen orng kecewa semua sejak kalah pemilihan 10 tahun silam,0,The content of the comments is that everyone is disappointed since losing the election 10 years ago.
74,@Abdullah-e2k7n,2024-07-13T23:55:50Z,"Alhamdulillah, maju terus Bu Greece, jgn perdulikan omongan org2 yg suka nyinyir",1,"Thank God, keep moving forward, Ms. Greece, don't pay attention to the words of those who like to criticize."
75,@nawalapatra112,2024-07-14T00:32:58Z,bukannya dia yang tukang nyinyir? sekarang aja udah dapat remahan kue kekuasaan baru jadi kerbau dicocok hidung.,0,Isn't he the one who is a cynic? Now he has just gotten a crumb of the power cake and become a buffalo being chased by the nose.
76,@chanoeif4345,2024-07-13T23:53:35Z,"ini sih keliatan bgt di paksakan..masa udh masuk bulan juli pertengahan..msh ada tower crane di istana..yg ada di percepat malh ga bagus..jalan tol dan bandara aja msh dlm pengerjaan dan bertahap,apartemen pns jg blm jadi,air ama listrik blm smua ada..jika di paksakan bulan agustus ini tuk upacara sih msh bisa😁 paling msh byk alat2 proyek di sekitar..jd tdk sesuai apa yg di inginkan pleciden di akhir jabatan ny..kaye proyek mandalika jg lamban..",0,"This really looks forced..it's already mid-July..there's still a tower crane at the palace..what's being accelerated isn't even good..the toll road and airport are still under construction and in stages, the civil servant apartments aren't finished yet, water and electricity aren't all there..if it's forced to be in August for the ceremony, it's still possible😁 there's still a lot of project equipment around..so it doesn't match what Pleciden wanted at the end of his term..like the Mandalika project is also slow.."
77,@bimatanujaya6200,2024-07-13T23:46:30Z,Kamu sangat mengcewakan...dulu kirain partai dan pimpinan nya bisa diandalkan....ternyata sama aja....memuakan...,0,You are very disappointing... I used to think the party and its leaders were reliable.... it turns out they are all the same.... disgusting...
78,@animation93-sk7im,2024-07-13T23:45:31Z,Citra terus,0,The image continues
79,@sambernyawaku4659,2024-07-13T23:38:59Z,Yuk goyang duluuuuu...,0,"Come on, let's move first..."
80,@wahyudisupriyatno,2024-07-13T23:36:14Z,"On the track ???? On the road ngantor di IKN O'on banget si encik Grace gih dah ngantor bersih-bersih ruang kerja ajak jamaah dan keluarga semua, paling sebulan betah lanjut pulang lagi, cuma Selfi untuk kenangan kunker piknik ke IKN 😅😅😅😢😢😢",0,"On the track ???? On the road to the office at IKN On the road, Ms. Grace is really on, she's already in the office, cleaning the workspace, inviting all the congregation and family, she'll be happy to stay for a month and then go home again, just take a selfie for the memories of the picnic work visit to IKN 😅😅😅😢😢😢"
81,@muhadjir2703,2024-07-14T01:04:45Z,"Persepsi anda sangat benar. Katanya partainya Grace itu partai anak muda yang bersih pemberantas korupsi buktinya preeet, Yo nempel pada orang orang koruptor penjilat.",0,"Your perception is very correct. Grace's party is said to be a clean youth party that eradicates corruption, the proof is preeet, Yo sticks to corrupt people who are sycophants."
82,@rehatbentar5502,2024-07-13T23:34:41Z,Kalo on the track kenapa boss lu ga jadi ngantor bulan Juli 2024 ini? Dia ngaku kok gk ada air dan listrik 😂😂😂😂,0,"If on the track, why didn't your boss come to the office in July 2024? He admitted that there was no water and electricity 😂😂😂😂"
83,@rehatbentar5502,2024-07-13T23:33:10Z,"Bu Grace, coba liat progres pembangunan rusun ASN di sono bu. Itu besinya sdh mulai karatan 😂😂😂😂😂",0,"Ms. Grace, try to see the progress of the ASN flat construction over there, ma'am. The iron is starting to rust 😂😂😂😂😂"
84,@akhmadagung1686,2024-07-13T23:53:38Z,Kamu masih percaya bacotan para penjilat ???,0,Do you still believe the lies of the sycophants???
85,@rehatbentar5502,2024-07-14T00:20:04Z,@@akhmadagung1686 liat sendiri Sono! Wkwkwkwk,0,@@akhmadagung1686 see for yourself there! Wkwkwkwk
86,@grandong9879,2024-07-13T23:31:08Z,bang katanya july sudah ngantor di ikn -_-. kalau sesuai target kenapa belum ngantor disana?,0,"Bro, July said she's already working at IKN -_-. If it's according to target, why isn't she working there yet?"
87,@zuliansyahputra7522,2024-07-13T23:29:18Z,"Wlwh,zzmanusia menjijikan",0,"Wow, zz humans are disgusting"
88,@sujokojoko5452,2024-07-13T23:25:10Z,IKN jalan terus tidak usah gubris orang-orang dengki yang tidak ada sumbangsihnya untuk negara,1,"IKN continues to run, no need to pay attention to jealous people who have no contribution to the country"
89,@Sonia-eh1qx,2024-07-13T23:24:25Z,"IKN ini salah satu simbol dari pemerataan Indonesia, semoga niat baik pemerintah berjalan dengan lancar dan semoga negara ini bisa bebas dari oknum2 pejabat yang hanya ingin memperkaya diri dengan cara merugikan rakyat🙏🙏🇮🇩❤️",6,"This IKN is one of the symbols of equality in Indonesia, hopefully the government's good intentions will run smoothly and hopefully this country can be free from officials who only want to enrich themselves by harming the people🙏🙏🇮🇩❤️"
90,@taufikashab5465,2024-07-14T02:24:05Z,Kita butuh pemerataan nyata.. bukan simbol doang,1,We need real equality... not just symbols.
91,@RakaSumerta,2024-07-14T05:36:05Z,"Loh ..loh .., justru disinilah jadi tempat akan bersarangnya bagi mahluk"" yg mengumbar hasratnya ingin memperkaya diri, .... pikiran anda terlalu lugu, ideal dan bersih, tapi naluri anda kurang tajam, di setiap proyek besarlah peluang bisa terjadinya penyimpangan""",1,"Oh... oh..., this is precisely where the creatures who indulge their desire to enrich themselves will nest.... your thoughts are too innocent, ideal and clean, but your instincts are not sharp enough, in every big project there is an opportunity for deviations to occur."""
92,@taufikashab5465,2024-07-14T06:43:05Z,@@RakaSumerta valid,0,@@RakaSumerta you choose
93,@aspendikasuma9846,2024-07-15T22:27:35Z,@@RakaSumerta ya.. anda benar lugu sekali dia..,0,@@RakaSumerta yes.. you are right he is very innocent..
94,@Komenbiasasaja.,2024-07-13T23:20:39Z,Ayo nabung untuk beki tiket menghadiri Upacara 27 Agustys 2024 di IKN.  Paham kan?,4,Let's save up to buy tickets to attend the 27 August 2024 Ceremony at IKN. Understand?
95,@johntitor_,2024-07-13T23:20:32Z,"Haha ud dpt cuan lemes lambenya skg
Politik busuk, skg ajang cari cuan",0,"Haha, I've got money, I'm weak now
Rotten politics, now it's an opportunity to find money"
96,@pardepo,2024-07-13T23:16:55Z,membaca teks itu mudah ...,0,reading the text is easy...
97,@ludvyantrienidad2750,2024-07-13T23:15:43Z,Kasus 271 T apa kabar.....belum lagi yg 3000...kemana larinya uang negara...kok pada diem,0,What's up with Case 271 T...not to mention the 3000...where did the state money go...why are they all silent?
98,@ludvyantrienidad2750,2024-07-13T23:13:42Z,Orang bodoh sekelas Grace Natali Kok di pakai,0,Why is someone as stupid as Grace Natali being used?
99,@bilsonsimamora9297,2024-07-13T23:13:10Z,"Joko terbukti ga ngantor Juli di IKN, kok on the track?",4,"Joko was proven not to be at the office in July at the IKN, why is he on the track?"
100,@MurahRejeki-m6f,2024-07-13T23:07:42Z,Jilat pantat terus... Sampai clingggg....,0,Keep licking the ass... Until it's clingggg....
101,@lizza7042,2024-07-13T23:04:47Z,Kalau sesuai betarti  president sdh berkamtor di bukan Juli ini,1,"If it's correct, it means the president will be in office in July."
102,@muhfebriansyah451,2024-07-13T23:03:38Z,Orang ini tidak konsisten dulu menghujat prabowo sekarang malah menjilat,0,"This person was inconsistent in the past, criticizing Prabowo, now he is fawning over him"
103,@mohammadabdulkarim3283,2024-07-13T23:02:37Z,"Penjilat, buzzer sejati, no jilat, no money",0,"Sycophant, true buzzer, no lick, no money"
104,@pinanditochannel6008,2024-07-13T22:57:26Z,On the MANGKRAK.. Itu proyek ambisi pribadi yang tidak melibatkan Rakyat sebagai pemilik Negara..... Ambyaaaarrrr... Pengin lihat Endingnya orang2  yang kayak gini  !!?,0,On the MANGKRAK.. It's a personal ambition project that doesn't involve the people as the owners of the country... Ambyaaaarrrr... Do you want to see the ending for people like this!!?
105,@yenimulyani8362,2024-07-13T22:52:02Z,"Skrg jd jubir ikn.ktnya komisaris tiktok..sdhlh skrg leluasa ngomong.nnt oktober lu ditimpukin wartawan krn dah g dianggap ,jilat dan cebokin bosnya 🤣🤣🤣🤣",0,"Now you are the spokesperson for IKN. They say you are the commissioner of TikTok. Now you are free to speak. In October, you will be pelted by journalists because you are no longer considered, licking and cleaning your boss 🤣🤣🤣🤣"
106,@TeLAU-F64,2024-07-13T22:48:28Z,"Grece anak perusahaan pt gudang garam.bnyk duit biar aman.😂PSI dulu di idam""kan jd melenial skrg jd babu politik.",0,"Grece is a subsidiary of PT Gudang Garam. Lots of money to keep it safe. 😂PSI used to be dreamed of as millennials, now it's a political servant."
107,@ekasapoetra4829,2024-07-13T22:46:08Z,"perempuan cantik TAPI mentalnya penipu & tukang bohong = munafik.
inilah penjilat baru selain si ngadalin",0,"beautiful woman BUT her mentality is a cheater & a liar = hypocrite.
this is the new sycophant besides the ngadalin"
108,@kusmanakadarusman3734,2024-07-13T22:45:56Z,"Jangan banyak bohong, rakyat sudah bosen dengan ocehan para pejabat dengan kebohongannya, negara ini sudah diliputi kebohongan para penguasa, kalian siap"" jadi penghuni jeruji besi",1,"Don't lie too much, the people are tired of the officials' chatter and lies, this country is already filled with the lies of the rulers, you are ready to be the occupants of the iron bars"
109,@fidalfiranda8074,2024-07-13T22:42:58Z,😂😂 munafikun di percaya setali 3 uang ..sama sama pinokio,0,😂😂 Hypocrites are believed to be of the same cloth...same as Pinocchio
110,@HartonoHartono-zp2se,2024-07-13T22:42:52Z,Mbangon. Ikn. Panjang. Waktunya. Biyayanya. Banyak. Yang. Di. Koropsi. Itu. Orang. Seneng. Koropi. Minta. Panjang. Waktunya. Seneng. Belat. Belit.,0,Mbangon. Ikn. Long. Time. Cost. Many. Which. In. Corruption. That. People. Like. Corruption. Ask. Long. Time. Like. Twist.
111,@muhadjir2703,2024-07-14T01:08:17Z,"Ya, waktu pembangunan  sangat panjang. Peluang korupsi pasti menggila... Rakyat tambah miskin.",0,"Yes, the development time is very long. The opportunity for corruption must be crazy... People are getting poorer."
112,@jukenkenji5382,2024-07-13T22:39:47Z,KALAU KITA SINGGUNG KORUPSI 271 T PENGECARA KEGELAPAN AKAN MERAMAIKAN KASUA VINA COBA BUKTIKAN,1,"IF WE MENTION CORRUPTION 271 T THE LAWYER OF DARKNESS WILL LIVEN UP THE VINA CASE, TRY TO PROVE IT"
113,@HAT1909,2024-07-13T22:36:56Z,GrdCe dagang klontong aj.. ato dagang baut di asem reges... jgn politik ya... bau mulutnya..,0,GrdCe just sells groceries... or sells bolts in Asem Reges... don't do politics... his breath smells...
114,@silashafara4423,2024-07-13T22:35:17Z,Rakyat masih kesusahan hutan belantara dibangun uangnya ngutang lagi apa kedepannya rakyat tidak tambah sengsara,0,"The people are still having trouble with the wilderness being built, the money has to be borrowed again, what will happen to the people in the future?"
115,@tatangmuhtar9460,2024-07-13T22:34:46Z,Wanita penjilat😂,0,Licking woman😂
116,@HeruBakri-nx4ef,2024-07-13T22:30:05Z,"Kita dukung terus pembangunan IKN , ibu kota baru , peradaban baru , dan juga modern 👍",9,"We continue to support the development of the IKN, the new capital city, a new civilization, and also modern 👍"
117,@MurahRejeki-m6f,2024-07-13T23:08:33Z,Buat siapaaaaa? Emang rakyat butuh....?,1,For whom? Do the people really need...?
